Grid_ID,Longitude,Latitude,Species_N_All,Species_N_Inf,So_Pi,Df_Pi,Co_Pi,Sk_Pi,Um_Pi,Ra_Pi,Cp_Pi,Pa_Pi,Ck_Pi
0,119.4624671,26.32807979,1321,1109,0.145175834,0.218214608,0.045085663,0.115419297,0.061316501,0.206492335,0.083859333,0.121731289,0.00270514
1,123.9187542,40.28029352,797,684,0.119883041,0.18128655,0.051169591,0.109649123,0.08625731,0.197368421,0.144736842,0.084795322,0.024853801
2,113.2899212,42.69124589,21,20,0.1,0.1,0,0.2,0,0.3,0.2,0.05,0.05
3,116.7383101,39.89901296,1744,1500,0.106666667,0.198666667,0.054666667,0.119333333,0.081333333,0.184666667,0.116,0.124666667,0.014
4,76.8885608,40.95938794,23,19,0.210526316,0.105263158,0.052631579,0.105263158,0,0.315789474,0.157894737,0.052631579,0
5,78.52877601,38.99815007,6,6,0,0.166666667,0,0,0.333333333,0.5,0,0,0
6,97.73143629,32.36490588,395,349,0.111747851,0.123209169,0.045845272,0.114613181,0.080229226,0.197707736,0.23782235,0.068767908,0.020057307
7,129.1180708,42.44917416,446,376,0.085106383,0.204787234,0.058510638,0.090425532,0.066489362,0.178191489,0.170212766,0.10106383,0.045212766
8,87.52104506,33.5970922,4,4,0,0.25,0,0,0,0,0.25,0.5,0
9,99.42888468,22.12666473,155,130,0.123076923,0.207692308,0.061538462,0.107692308,0.030769231,0.346153846,0.038461538,0.076923077,0.007692308
10,116.229736,48.09780055,109,97,0.103092784,0.154639175,0.041237113,0.082474227,0.113402062,0.195876289,0.195876289,0.092783505,0.020618557
11,88.8290477,48.03000241,37,30,0.133333333,0.1,0.1,0.066666667,0.1,0.3,0.1,0,0.1
12,112.9919989,35.6094605,799,692,0.11416185,0.23699422,0.047687861,0.096820809,0.083815029,0.219653179,0.106936416,0.089595376,0.00433526
13,78.89095001,38.15692011,11,10,0.1,0,0,0.1,0,0.4,0.2,0.2,0
14,107.2131507,40.04015199,215,196,0.132653061,0.142857143,0.051020408,0.153061224,0.066326531,0.209183673,0.142857143,0.081632653,0.020408163
15,82.7055088,34.43489191,21,20,0.1,0,0.1,0.05,0.1,0.2,0.2,0.25,0
16,98.7809134,40.48714757,3,2,0.5,0.5,0,0,0,0,0,0,0
17,125.4588282,47.28103723,263,240,0.095833333,0.175,0.0375,0.104166667,0.079166667,0.1875,0.204166667,0.095833333,0.020833333
18,119.9286522,28.10377948,1410,1235,0.136842105,0.242105263,0.054251012,0.097165992,0.08097166,0.199190283,0.096356275,0.089068826,0.004048583
19,103.795129,23.85947218,347,276,0.155797101,0.22826087,0.057971014,0.094202899,0.101449275,0.213768116,0.061594203,0.083333333,0.003623188
20,89.78493788,46.68984837,835,739,0.112313938,0.151556157,0.054127199,0.120433018,0.069012179,0.198917456,0.151556157,0.124492558,0.01759134
21,105.4827674,29.34144664,475,424,0.174528302,0.160377358,0.04009434,0.08254717,0.089622642,0.231132075,0.127358491,0.091981132,0.002358491
22,126.2289432,51.72051291,24,20,0.2,0.15,0,0.15,0.1,0.2,0.1,0.05,0.05
23,87.15564442,42.62450755,433,391,0.138107417,0.122762148,0.056265985,0.148337596,0.05370844,0.186700767,0.173913043,0.104859335,0.015345269
24,115.5435801,23.89574405,965,851,0.155111633,0.249118684,0.038777908,0.094007051,0.085781434,0.190364277,0.078730905,0.108108108,0
25,98.92197195,26.19126014,2049,1758,0.121729238,0.217861206,0.045506257,0.097269625,0.096700796,0.221843003,0.08930603,0.10182025,0.007963595
26,129.3457043,46.81027121,155,128,0.09375,0.2578125,0.0625,0.078125,0.0703125,0.1640625,0.125,0.0859375,0.0625
27,110.7116053,32.09772655,2153,1863,0.114868492,0.225442834,0.065485776,0.089103596,0.098228663,0.193773484,0.108427268,0.091250671,0.013419216
28,104.7720676,23.9116088,1532,1300,0.129230769,0.250769231,0.048461538,0.094615385,0.086153846,0.210769231,0.086153846,0.085384615,0.008461538
29,134.3074887,47.42965807,15,9,0.111111111,0.333333333,0,0.222222222,0,0.333333333,0,0,0
30,79.64928629,39.26928077,5,4,0,0,0,0,0.25,0.75,0,0,0
31,128.2970067,47.86458504,337,285,0.098245614,0.196491228,0.066666667,0.080701754,0.105263158,0.178947368,0.126315789,0.098245614,0.049122807
32,109.6149763,36.52918106,435,386,0.119170984,0.168393782,0.038860104,0.106217617,0.082901554,0.189119171,0.158031088,0.119170984,0.018134715
33,93.10953479,33.60106099,29,24,0.125,0.083333333,0.041666667,0,0.083333333,0.333333333,0.083333333,0.25,0
34,123.9039139,52.93442364,523,446,0.159192825,0.213004484,0.022421525,0.118834081,0.053811659,0.246636771,0.082959641,0.080717489,0.022421525
35,89.27447396,31.18810681,50,49,0.081632653,0.06122449,0.081632653,0.06122449,0.06122449,0.244897959,0.204081633,0.204081633,0
36,80.89374304,43.13304567,1046,919,0.108813928,0.139281828,0.04570185,0.114254625,0.084874864,0.211099021,0.188248096,0.089227421,0.018498368
37,97.11840787,42.66734936,81,69,0.144927536,0.188405797,0.072463768,0.115942029,0.014492754,0.202898551,0.188405797,0.072463768,0
38,114.0240155,33.80819219,97,85,0.141176471,0.176470588,0.023529412,0.164705882,0.070588235,0.235294118,0.105882353,0.070588235,0.011764706
39,113.3852141,44.41915882,94,89,0.157303371,0.191011236,0,0.146067416,0.101123596,0.123595506,0.168539326,0.112359551,0
40,116.6586061,39.01579687,828,734,0.09400545,0.197547684,0.039509537,0.13760218,0.0626703,0.18119891,0.147138965,0.129427793,0.010899183
41,82.06581923,42.58509285,125,109,0.137614679,0.146788991,0.055045872,0.073394495,0.128440367,0.201834862,0.174311927,0.082568807,0
42,116.580763,38.1329525,75,65,0.061538462,0.092307692,0.046153846,0.215384615,0.030769231,0.292307692,0.153846154,0.107692308,0
43,131.9047334,46.43968917,272,233,0.141630901,0.141630901,0.060085837,0.193133047,0.107296137,0.154506438,0.098712446,0.068669528,0.034334764
44,106.2475538,35.58911285,1027,902,0.090909091,0.218403548,0.053215078,0.083148559,0.098669623,0.21286031,0.131929047,0.085365854,0.025498891
