"Grid_ID","Longitude","Latitude","Species_N_All","Species_N_Inf","MDT","So_Pi","Df_Pi","Co_Pi","Sk_Pi","Um_Pi","Ra_Pi","Cp_Pi","Pa_Pi","Ck_Pi","Determinate","Indeterminate","H","Indeterminate_adj","Determinate_adj","H_Rank"
0,119.4624671,26.32807979,1321,1109,9.41610556,0.145175834,0.218214608,0.045085663,0.115419297,0.061316501,0.206492335,0.083859333,0.121731289,0.00270514,0.363390442,0.636609558,1.97841091891174,0.637425798993823,0.362574201006177,0.467889908256881
1,123.9187542,40.28029352,797,684,7.876372976,0.119883041,0.18128655,0.051169591,0.109649123,0.08625731,0.197368421,0.144736842,0.084795322,0.024853801,0.301169591,0.698830409,2.07081073468412,0.697747582741291,0.302252417258709,0.93394495412844
2,113.2899212,42.69124589,21,20,6.213507737,0.1,0.1,0,0.2,0,0.3,0.2,0.05,0.05,0.2,0.8,1.76505725222563,0.725333545479645,0.274666454520355,0.122018348623853
3,116.7383101,39.89901296,1744,1500,8.257270646,0.106666667,0.198666667,0.054666667,0.119333333,0.081333333,0.184666667,0.116,0.124666667,0.014,0.305333334,0.694666666,2.05760303591204,0.694236758519289,0.305763241480711,0.86605504587156
4,76.8885608,40.95938794,23,19,9.209550694,0.210526316,0.105263158,0.052631579,0.105263158,0,0.315789474,0.157894737,0.052631579,0,0.315789474,0.684210526,1.7673779352974,0.676188486713996,0.323811513286004,0.124311926605505
5,78.52877601,38.99815007,6,6,10.48075638,0,0.166666667,0,0,0.333333333,0.5,0,0,0,0.166666667,0.833333333,1.0114042649384,0.69993661387047,0.30006338612953,0.013302752293578
6,97.73143629,32.36490588,395,349,7.206489978,0.111747851,0.123209169,0.045845272,0.114613181,0.080229226,0.197707736,0.23782235,0.068767908,0.020057307,0.23495702,0.76504298,2.01942545983544,0.7581949988247,0.2418050011753,0.66605504587156
7,129.1180708,42.44917416,446,376,6.987821021,0.085106383,0.204787234,0.058510638,0.090425532,0.066489362,0.178191489,0.170212766,0.10106383,0.045212766,0.289893617,0.710106383,2.07846287351207,0.707433681199234,0.292566318800766,0.955045871559633
8,87.52104506,33.5970922,4,4,1.375261791,0,0.25,0,0,0,0,0.25,0.5,0,0.25,0.75,1.03972077083992,0.680753884692565,0.319246115307435,0.0188073394495413
9,99.42888468,22.12666473,155,130,9.68125334,0.123076923,0.207692308,0.061538462,0.107692308,0.030769231,0.346153846,0.038461538,0.076923077,0.007692308,0.330769231,0.669230769,1.83023153056456,0.66946868654249,0.33053131345751,0.157798165137615
10,116.229736,48.09780055,109,97,8.341301458,0.103092784,0.154639175,0.041237113,0.082474227,0.113402062,0.195876289,0.195876289,0.092783505,0.020618557,0.257731959,0.742268041,2.04631759306822,0.7265349558084,0.2734650441916,0.812844036697248
11,88.8290477,48.03000241,37,30,5.863055518,0.133333333,0.1,0.1,0.066666667,0.1,0.3,0.1,0,0.1,0.233333333,0.766666667,1.96167480417164,0.720911156071838,0.279088843928162,0.405504587155963
12,112.9919989,35.6094605,799,692,8.239425108,0.11416185,0.23699422,0.047687861,0.096820809,0.083815029,0.219653179,0.106936416,0.089595376,0.00433526,0.35115607,0.64884393,1.97964643331167,0.649669292259474,0.350330707740526,0.476146788990826
13,78.89095001,38.15692011,11,10,6.3864955,0.1,0,0,0.1,0,0.4,0.2,0.2,0,0.1,0.9,1.47080847632211,0.732128159793061,0.267871840206939,0.0513761467889908
14,107.2131507,40.04015199,215,196,7.500862312,0.132653061,0.142857143,0.051020408,0.153061224,0.066326531,0.209183673,0.142857143,0.081632653,0.020408163,0.275510204,0.724489796,2.05422114622104,0.717904896485524,0.282095103514476,0.847706422018349
