Grid_ID,Longitude,Latitude,Indeterminate,Determinate,H,Indeterminate_adj,Determinate_adj,H_Rank,Species_N_All,Species_N_Inf,MDT,PD,So_Pi,Df_Pi,Co_Pi,Sk_Pi,Um_Pi,Ra_Pi,Cp_Pi,Pa_Pi,Ck_Pi,Altitude,Slope,AMT,AP,MDTR,ISO,TS,PS,MTWQ,PDQ,RAD,WIND,AI,ET0,AMTd,APd,AMTsd,APsd,CSI,BULK,ECE,OC,PH,SAND,Soildiv,PC1,PC2,MCI
0,119.4624671,26.32807979,0.636609558,0.363390442,1.978410918,0.637425799,0.362574201,0.467889908,1321,1109,9.41610556,37293.60054,0.145175834,0.218214608,0.045085663,0.115419297,0.061316501,0.206492335,0.083859333,0.121731289,0.00270514,272.2025273,2.850467567,18.30913828,1511.728553,6.81128846,26.97695946,674.7246652,57.42115305,26.34757694,128.732482,14637.56734,3.246649202,1.129745043,1291.877538,-111.1390942,-93.41583063,0.120915178,0.047137854,0.274135958,1.194893945,0.214265514,1.053305582,5.084304923,29.72065986,25,4.918372915,-0.536910464,11.12559355
1,123.9187542,40.28029352,0.69883041,0.301169591,2.070810733,0.697747584,0.302252416,0.933944954,797,684,7.876372976,21640.15064,0.119883041,0.18128655,0.051169591,0.109649123,0.08625731,0.197368421,0.144736842,0.084795322,0.024853801,149.6840754,1.124893631,8.466266718,906.0516024,10.19634581,24.50640915,1158.094279,104.0622085,21.9075619,34.49414138,14231.95209,2.58306885,0.813714293,1113.596415,5.62941035,198.4016605,0.253017104,0.063597306,0.468550887,1.382762661,0.167262871,0.978512591,6.502988802,41.00882695,25,0.400341352,0.561469915,5.902890284
2,113.2899212,42.69124589,0.8,0.2,1.765057252,0.725333545,0.274666455,0.122018349,21,20,6.213507737,1487.863076,0.1,0.1,0,0.2,0,0.3,0.2,0.05,0.05,1109.857074,0.42201169,4.776238863,225.6146261,12.73529487,25.90181872,1359.418859,109.4971055,20.80045507,5.253334176,16014.72995,3.88456588,0.145472088,1554.469566,48.3421955,81.88401492,0.195341224,0.044048106,0.371997687,1.489477934,0.671449335,0.990602994,7.496175895,53.79059478,24,-2.112573477,2.349576226,2.474805087
3,116.7383101,39.89901296,0.694666667,0.305333334,2.057603035,0.69423676,0.30576324,0.866055046,1744,1500,8.257270646,39176.63175,0.106666667,0.198666667,0.054666667,0.119333333,0.081333333,0.184666667,0.116,0.124666667,0.014,59.81712981,0.425296924,11.70448505,544.2246835,11.75659448,28.61305951,1117.241906,139.7494564,24.69862653,10.13976793,15160.41529,2.251031216,0.38725801,1404.756659,-40.77448383,217.2870517,0.167009145,0.07622882,0.377363889,1.437068811,0.405109439,0.599847708,7.522494743,49.71861814,67,0.525276611,2.845797977,7.831594166
4,76.8885608,40.95938794,0.684210527,0.315789474,1.767377935,0.676188487,0.323811513,0.124311927,23,19,9.209550694,1692.523584,0.210526316,0.105263158,0.052631579,0.105263158,0,0.315789474,0.157894737,0.052631579,0,3718.254577,6.242885054,-4.675366672,250.156,12.77300001,32.87465707,960.4674822,75.66758237,6.323866676,13.108,14542.456,2.705999998,0.2902728,870.368,127.3086333,50.716,0.185714284,0.01385918,0.299879611,1.598400012,0.094800001,1.396039968,5.672399815,55.66,5,-2.545531441,-2.399478156,-0.000354509
5,78.52877601,38.99815007,0.833333333,0.166666667,1.011404265,0.699936614,0.300063386,0.013302752,6,6,10.48075638,615.1248271,0,0.166666667,0,0,0.333333333,0.5,0,0,0,1165.83875,0.101601971,12.73309948,36.68414724,15.51211954,32.2995334,1211.990952,66.39114084,26.17061254,2.048567039,16053.32043,1.487439031,0.022501537,1626.786292,-43.71529386,14.80446256,0.136117698,0.036825407,0.334908051,1.609784242,2.291836476,0.488466839,6.12355518,77.96666444,18,-0.954030349,3.575633002,1.317757962
6,97.73143629,32.36490588,0.76504298,0.23495702,2.01942546,0.758194999,0.241805001,0.666055046,395,349,7.206489978,9860.508454,0.111747851,0.123209169,0.045845272,0.114613181,0.080229226,0.197707736,0.23782235,0.068767908,0.020057307,4475.553066,4.465177621,-1.344057154,587.359597,13.51662258,39.75622685,742.85675,94.19286608,7.418023339,17.62895042,14798.56033,2.991835796,0.632754458,947.5983618,109.0152499,54.31269933,0.223519669,0.054803147,0.357970117,1.498981587,0.100210207,1.823446632,6.332023683,44.94614381,19,-2.028284285,-3.140487208,3.424503568
7,129.1180708,42.44917416,0.710106383,0.289893617,2.078462873,0.707433681,0.292566319,0.955045872,446,376,6.987821021,14687.6261,0.085106383,0.204787234,0.058510638,0.090425532,0.066489362,0.178191489,0.170212766,0.10106383,0.045212766,747.7375936,2.45379447,3.104833808,648.0652501,11.85639953,26.91648062,1205.095286,94.72934382,17.15989627,20.98577882,13104.80623,1.913208962,0.73406525,884.5629915,48.02670097,138.6494897,0.200672271,0.037448134,0.282926541,1.400073592,0.105788859,1.131221365,6.337493746,38.61218002,16,0.233005148,-0.304911441,5.001570115
8,87.52104506,33.5970922,0.75,0.25,1.039720771,0.680753885,0.319246115,0.018807339,4,4,1.375261791,407.3326901,0,0.25,0,0,0,0,0.25,0.5,0,5124.182749,1.744675725,-4.852560415,189.0127261,13.77103561,36.34914054,902.5057088,108.6381481,6.186579209,3.830556946,16379.07423,4.055311478,0.167419039,1138.431401,168.708246,-51.65753914,0.230061225,0.079138019,0.39378809,1.513741336,0.312461571,1.524295391,5.541445477,47.37377565,15,-3.924597622,-2.427211265,-0.910426647
9,99.42888468,22.12666473,0.66923077,0.330769231,1.830231528,0.669468687,0.330531313,0.157798165,155,130,9.68125334,8402.907912,0.123076923,0.207692308,0.061538462,0.107692308,0.030769231,0.346153846,0.038461538,0.076923077,0.007692308,1638.618302,5.459657652,18.27963262,1453.125,11.78086624,51.68865472,330.6337581,83.19377794,21.32686403,36.88157895,16995.73904,1.29155702,0.970286842,1498.743421,-88.85194632,-285,0.151428573,0.095031196,0.296229079,1.350526297,0.102631581,1.469671035,5.211842198,40.17763158,8,2.617261325,-2.439598914,9.501828224
