"","H_Rank","Indeterminate_adj"
"Altitude",1648939092741.99,2046633685.38367
"Slope",1847321463847.11,2001600247.0951
"AMT",2423407031131.46,1824852537.74909
"AP",1732298705556.17,3282886167.24118
"MDTR",1640991213534.97,1772438422.00629
"ISO",1835278762090.29,2073489324.24286
"TS",1586639971899.31,1955662871.0885
"PS",1976843920106.13,1709791704.7934
"MTWQ",1641937957752.75,1508780648.31187
"PDQ",2411534500443.71,2678024507.97346
"RAD",3401292998120.05,1758747499.79306
"WIND",2906448619166.05,1994804805.18575
"AI",972862711138.876,1196960529.8084
"ET0",3355744379050.87,1788550153.68468
"AMTd",1745905682241.49,1449246706.45968
"APd",2073457647508.84,1572866775.72
"AMTsd",2033443123273.46,1498045786.26745
"APsd",2545439955167.15,2051006370.8876
"CSI",2170785791898.26,1484062839.36318
"BULK",2412469446463.87,1525412230.05074
"ECE",1775835852402.68,1526893110.51156
"OC",1805758069747.84,1663918757.25251
"PH",2692315357289.77,1998103797.37255
"SAND",2344678870494.72,1682767937.14887
"Soildiv",3847580022976.07,1497608462.6936
