"","H_Rank","Indeterminate_adj"
"Altitude",2.50073183837296e-14,2.74226954200702e-05
"Slope",4.49936466189809e-06,2.15603912607959e-11
"AMT",3.73552733608504e-18,0.00285636826949508
"AP",3.04468633562178e-09,2.83853578331022e-34
"MDTR",3.07445425796647e-27,9.42760353023708e-16
"ISO",3.66272451273722e-14,0.000185223354837159
"TS",6.7490430586822e-21,1.44097848197618e-21
"PS",3.73302815684913e-14,3.98619501867552e-05
"MTWQ",3.8826044840081e-25,9.55424036598492e-18
"PDQ",0.41797999763912,0.442464918505742
"RAD",0.172361622113487,3.87600044711147e-26
"WIND",0.0807939195379823,0.000358313695273096
"AI",2.96921086110207e-30,9.3036299651553e-17
"ET0",2.30415984050586e-06,4.85511373993116e-22
"AMTd",3.75185959635396e-10,2.65717157818892e-27
"APd",5.91935745119228e-10,5.43478127924482e-16
"AMTsd",3.47016896497147e-14,2.73324787862998e-20
"APsd",4.2043826962709e-11,0.00532450362891483
"CSI",0.00867447856135054,0.578333814385409
"BULK",2.25424601308585e-07,6.04401501783981e-20
"ECE",9.93034714795671e-07,2.90274828801628e-10
"OC",2.89620567371651e-19,7.93292475896674e-14
"PH",6.27765918051239e-06,5.68546939983307e-12
"SAND",4.64884477055179e-18,2.18967004000038e-18
"Soildiv",4.67808871176699e-75,1.71361140952153e-05
