"","H_Rank","Indeterminate_adj"
"Altitude",0.0183345129740505,0.0122760259491508
"Slope",0.0220761888596335,0.00875491950656875
"AMT",0.0195208634711351,0.0211625058767555
"AP",0.0221053354963884,0.0302817075363949
"MDTR",0.0121607767883955,0.0103093064379839
"ISO",0.0184349611631106,0.0121736025249818
"TS",0.0153024449757629,0.00772520039580762
"PS",0.0176538409490688,0.0112067958315607
"MTWQ",0.0124448274247389,0.0103689464433831
"PDQ",0.0333568158873946,0.013236288165823
"RAD",0.037403666467179,0.00669834720113541
"WIND",0.0270666002502476,0.0113918458449217
"AI",0.0120724198006883,0.00984485856151077
"ET0",0.0239328869984216,0.00747228785177588
"AMTd",0.0234473967458331,0.00724122697594589
"APd",0.0207252648078903,0.00713064749413737
"AMTsd",0.0169290443913656,0.00801422191900019
"APsd",0.0204216272544004,0.0127577024851646
"CSI",0.0260844955184092,0.0169427578329399
"BULK",0.0225483166665612,0.00765905516810231
"ECE",0.0219448192128201,0.00834462382021478
"OC",0.0168109287936801,0.00968641500467529
"PH",0.0402092740598723,0.00793133478671701
"SAND",0.015979690746895,0.00764770645903159
"Soildiv",0.0611793861044114,0.00579512671064407
