"","H_Rank","Indeterminate_adj"
"Altitude",0.483890648573134,0.00081842737189789
"Slope",2.75502828267788e-05,0.0141698654237479
"AMT",0.103725124071217,6.3122345453167e-33
"AP",0.000880600475482986,2.41478446832028e-53
"MDTR",2.26994716175544e-10,0.925018480589444
"ISO",0.879029479679891,4.4767824501023e-05
"TS",0.00399043229496661,2.40766592120478e-05
"PS",0.195532773683685,0.0332192385072311
"MTWQ",1.06883087230823e-08,0.850887156806167
"PDQ",1.17378582237513e-33,5.55719338818749e-10
"RAD",1.69582838502599e-37,3.49694342190034e-10
"WIND",1.74535031888292e-13,0.00349679391439851
"AI",7.06571092813741e-11,0.50881156674965
"ET0",9.99131615890764e-08,3.41179027966504e-07
"AMTd",0.000102498479598774,7.38141667738239e-09
"APd",0.018475297600969,2.54209054061531e-09
"AMTsd",0.026535562771191,7.93276640559625e-05
"APsd",0.234387548136912,4.58494828566236e-06
"CSI",1.01612442922547e-13,1.18956653287772e-27
"BULK",0.000962737187477103,1.65824419672567e-06
"ECE",0.000183816602482729,0.0574907089464212
"OC",0.0649181769744655,0.464101350715904
"PH",4.72378523196414e-50,0.00132820290568333
"SAND",0.00628971263235279,1.68183515078266e-06
"Soildiv",1.22624012706432e-107,5.93677617346328e-06
