"","H_Rank","Indeterminate_adj"
"Altitude",1.11513227638162,1.08013510507202
"Slope",1.05966625779991,1.003387586411
"AMT",2.68713492785222,1.7399553470139
"AP",1.02940097290456,1.25914712267907
"MDTR",1.1378677405057,1.33527570117016
"ISO",1.12910594092607,1.07213816562622
"TS",1.3879209647332,1.20585010791757
"PS",1.01335194809892,1.00175749593927
"MTWQ",3.26832565073771,1.98294357116073
"PDQ",1.02717009618528,1.01935534797618
"RAD",1.0463190989481,1.01110842202215
"WIND",1.00275746292396,1.02402778729868
"AI",1.06193088142665,1.36659721115648
"ET0",1.04515919864633,1.05962323496792
"AMTd",1.29298075239199,1.91332933774343
"APd",1.00517807850939,1.00171406333968
"AMTsd",1.06215781029583,1.0033956424254
"APsd",1.03505829611371,1.01840552396844
"CSI",1.00765755919397,1.12307399924479
"BULK",1.13017428889179,1.07251092379735
"ECE",1.00091291830003,1.00407277260371
"OC",1.04969649914087,1.01699023777222
"PH",1.25208671756372,1.02903216888945
"SAND",1.12645468407638,1.06131102808869
"Soildiv",1.1398197560381,1.00198390366194
