"","H_Rank","Indeterminate_adj"
"Altitude",2.38664623011861e-21,5.18383130619203e-14
"Slope",3.47015981549791e-49,4.21230852710427e-05
"AMT",9.35554796951537e-26,3.97994096142609e-16
"AP",2.25657957314239e-12,6.7168632386247e-33
"MDTR",9.13725915902071e-33,6.7741845443512e-55
"ISO",1.71803451751575e-32,4.18535884141437e-22
"TS",5.41605404807711e-19,9.58242365682393e-14
"PS",1.70588649651808e-23,0.18267709351988
"MTWQ",1.91868612092682e-34,4.1851960488163e-16
"PDQ",1.47065017430282e-23,2.54232051600031e-14
"RAD",1.02551856517744e-35,1.11708257141848e-11
"WIND",0.0166024096659748,4.54592481402156e-37
"AI",3.70468661372722e-16,2.154303198449e-37
"ET0",3.81702307869383e-18,9.36815033448534e-17
"AMTd",5.12519820667736e-31,6.20346999007311e-50
"APd",4.30859048016863e-18,0.193920607166651
"AMTsd",3.76628346539144e-42,0.000748431833718901
"APsd",4.0239286089582e-44,2.13189344441383e-27
"CSI",4.1776146473682e-16,1.75730911547292e-69
"BULK",9.61717898262821e-49,5.28170755961704e-43
"ECE",0.168695426604282,6.84779299392009e-08
"OC",3.86310102418313e-50,6.60451986893261e-31
"PH",8.36294341026005e-74,3.93510482183726e-31
"SAND",1.63021568894841e-52,6.00042534529333e-37
"Soildiv",4.23833722485823e-85,0.000322663136804231
