"","H_Rank","Indeterminate_adj"
"Altitude",0.0591675411874597,0.0211373562846762
"Slope",0.0415635767784506,0.00387716109369104
"AMT",0.32364595169297,0.079813066400998
"AP",0.0258435987094565,0.0426313480515467
"MDTR",0.0682913803263328,0.0533803477218011
"ISO",0.0642532638252911,0.0209076764685613
"TS",0.113898999305395,0.0347791177713683
"PS",0.0202672402892285,0.0028759641182072
"MTWQ",0.404899179682556,0.0968845023147317
"PDQ",0.0252859485587431,0.00913217073619206
"RAD",0.0390707998705425,0.00745947533641721
"WIND",0.00835630569862128,0.0133661828538731
"AI",0.0410029817330442,0.0546707250505911
"ET0",0.0333670604234449,0.0177556151730341
"AMTd",0.10633450484989,0.100542540881009
"APd",0.00866898062877233,0.00214336757348534
"AMTsd",0.0465558104425741,0.00420816921586179
"APsd",0.0333462001089153,0.0109023922010166
"CSI",0.0140652903845937,0.0294886042401809
"BULK",0.0554833313591388,0.018606535146028
"ECE",0.0031599082079332,0.00325013819499038
"OC",0.0384194038626667,0.0101548663251339
"PH",0.0975507584250618,0.0140972698206287
"SAND",0.0573387235125948,0.0178971436465602
"Soildiv",0.0660227924223032,0.00286918764037702
