"","H_Rank","Indeterminate_adj"
"Altitude",7.14341804367287e-32,1.027138533016e-21
"Slope",6.08092915019565e-88,0.0365433739221686
"AMT",2.02434085314264e-32,3.46479546707299e-22
"AP",2.01245327819274e-18,4.13809328953377e-46
"MDTR",1.15288712117426e-50,3.18747137983677e-82
"ISO",1.54839982028165e-51,4.8713800068835e-34
"TS",1.24325962950878e-27,5.96816180505081e-21
"PS",1.35892371399134e-30,0.00329058460027193
"MTWQ",1.80676985320004e-41,3.28446713083979e-22
"PDQ",7.73013301729423e-38,5.79087877384322e-19
"RAD",1.18353434302551e-60,1.03849101633014e-07
"WIND",0.362507897795113,1.9845405885088e-58
"AI",1.12637109656653e-25,2.55777778637691e-53
"ET0",2.61059199187268e-26,1.08908642627879e-25
"AMTd",1.21136130534927e-46,9.5767681847589e-66
"APd",2.00720390488486e-13,0.0287734908102872
"AMTsd",6.10629360923124e-76,0.781400403502738
"APsd",5.75716885862547e-72,4.65221793137268e-37
"CSI",2.23891547915186e-15,1.3873255091254e-126
"BULK",1.64011614607674e-78,1.81821319807114e-72
"ECE",9.8339955619062e-05,0.0134630031220326
"OC",2.48911237467036e-91,3.47658035553753e-38
"PH",2.2214848252848e-124,1.34363685833726e-47
"SAND",5.25096992311928e-90,5.00804458862385e-59
"Soildiv",6.37343728976392e-160,0.11731886985086
