"","H_Rank","Indeterminate_adj"
"Altitude",1.023845199945,1.01672525280602
"Slope",1.02271652413739,1.01007247844112
"AMT",1.00718793082853,1.00145976375464
"AP",1.00887428111723,1.0016358431229
"MDTR",1.00745684592389,1.01652198617277
"ISO",1.01170716274763,1.01072518790322
"TS",1.01706720685647,1.00299191576484
"PS",1.02029817937192,1.01144673976225
"MTWQ",1.00541818323259,1.00599446433695
"PDQ",1.00025630738077,0.999655826961269
"RAD",1.01713998532086,1.01209951511099
"WIND",1.03322791288006,1.0123307486326
"AI",1.00493870781912,1.00030279423079
"ET0",1.01735786742839,1.00951827153019
"AMTd",1.01065870122129,1.00492998008513
"APd",1.00083828182722,1.00064837447346
"AMTsd",1.00860115877883,1.00233350778405
"APsd",1.01571317675929,1.00755904597699
"CSI",1.01039329957337,1.01346532272654
"BULK",0.999013587153991,0.998562011541549
"ECE",1.00366755314661,1.00401912232011
"OC",1.00239090902718,1.00142949494472
"PH",1.00464823537687,1.00294437550248
"SAND",1.00606542097426,1.00089002789542
"Soildiv",1.04217882765511,1.00711502998202
