"","H_Rank","Indeterminate_adj"
"Altitude",4.87658275021779e-22,3.45596124584979e-26
"Slope",1.30670322285283e-39,2.19582606305815e-35
"AMT",1.42902392168877e-22,0.00670051089222467
"AP",3.89483835535586e-39,9.39242428529351e-06
"MDTR",1.18461257605866e-17,4.4652668789674e-23
"ISO",5.80930025360068e-26,1.45354360141648e-36
"TS",1.16696217686066e-33,2.74739664161176e-05
"PS",1.1111107928263e-12,4.51141569293748e-12
"MTWQ",9.84505448798336e-10,2.13052192342598e-19
"PDQ",0.191512808907967,0.0642951637745811
"RAD",2.69398529479943e-27,1.15297343284402e-17
"WIND",1.82421323204456e-28,4.6505651344217e-12
"AI",6.70648300609034e-25,0.495558553006525
"ET0",3.44335444850191e-50,2.48833122614331e-22
"AMTd",1.86246219304701e-28,6.58199478587163e-10
"APd",3.84555335903563e-05,1.54137748333472e-08
"AMTsd",7.68904544702463e-23,3.3147346556648e-05
"APsd",2.20152404300929e-36,1.81668489096772e-17
"CSI",1.11255655512556e-26,2.78552553044007e-27
"BULK",6.02864569737376e-05,5.05695734555279e-08
"ECE",1.21859236498756e-10,2.5558725748496e-15
"OC",1.801078087034e-07,8.04688940111696e-05
"PH",8.40044160999978e-15,1.48457438006815e-09
"SAND",2.64673750112789e-11,0.207374451103167
"Soildiv",6.02931873142267e-43,5.01298956736766e-11
