"","H_Rank","Indeterminate_adj"
"Altitude",0.0190350136867909,0.0151720885985313
"Slope",0.012519079652384,0.00299511769039333
"AMT",0.0122564873124773,0.0116928936497786
"AP",0.00889631324956892,0.00919249761309104
"MDTR",0.0103788259827691,0.0115601456220798
"ISO",0.00769201794488986,0.00309552431376461
"TS",0.0106398103923561,0.00730979900835311
"PS",0.0095355156803741,0.0055663090406554
"MTWQ",0.0112120331351299,0.0117226402886519
"PDQ",0.00300489125301485,0.00234879131727877
"RAD",0.0191665375861225,0.00471652958911801
"WIND",0.0221346354442018,0.00530779341034355
"AI",0.00664247759046546,0.00605573476798988
"ET0",0.0189927417810682,0.00271167889759757
"AMTd",0.0131927050460555,0.0107321798877172
"APd",0.00109082036856348,0.00044807250914243
"AMTsd",0.00761105103644255,0.00484931304711312
"APsd",0.0156370993851687,0.00450267195266724
"CSI",0.00947530082037276,0.00521040886496269
"BULK",0.00188658340444844,0.000916052911788847
"ECE",0.0037206430899936,0.00107649144729509
"OC",0.00463155499660813,0.00133226873368291
"PH",0.00742994033696723,0.00322935786757379
"SAND",0.00640764829524686,0.00249660327731169
"Soildiv",0.0185047564970122,0.00247887383870158
