"","H_Rank","Indeterminate_adj"
"Altitude",4.84320106444009e-104,2.31300300700643e-152
"Slope",8.42313503226976e-107,5.79978085034411e-52
"AMT",1.02438031913487e-76,2.18353866010558e-129
"AP",1.00828143223145e-102,7.12121492817991e-176
"MDTR",1.93019253721394e-66,4.97996825483964e-169
"ISO",1.70317348010295e-52,5.82571933344272e-54
"TS",1.61189522984687e-58,7.88725127344604e-102
"PS",1.28819093861688e-43,4.25242008972708e-70
"MTWQ",2.61381235096188e-73,7.63080731663635e-126
"PDQ",2.21650848140186e-73,8.12957160121736e-161
"RAD",3.05917823147618e-135,1.13292417040753e-69
"WIND",3.07622043794252e-91,2.0608482044668e-74
"AI",3.40334368496855e-88,3.75181890335415e-170
"ET0",2.84037053436497e-122,2.08274221141537e-45
"AMTd",1.65700183368252e-86,4.26283889767752e-117
"APd",1.40104831145643e-28,1.11081534512977e-24
"AMTsd",1.18553147335944e-55,1.24210213315801e-118
"APsd",5.33709230765575e-103,1.15708468535368e-80
"CSI",3.22350513824008e-88,4.88938251977792e-68
"BULK",1.05354762323183e-31,2.27801969559836e-38
"ECE",9.08808721226771e-54,1.56841263898343e-33
"OC",2.86237463659438e-58,1.73366924818364e-37
"PH",7.6552351527368e-96,1.74687545565044e-90
"SAND",1.2010551405532e-45,1.89324009182915e-46
"Soildiv",1.91035247899494e-72,2.06195387585442e-35
