"","H_Rank","Indeterminate_adj"
"Altitude",1.21438549657187,1.12161315405543
"Slope",1.06220600820609,1.03207389772721
"AMT",1.21535375848986,1.58212938776965
"AP",1.15109035199928,1.16193834814424
"MDTR",1.14831599484665,1.16452396430499
"ISO",1.24918440275447,1.13919417657944
"TS",1.45142537097564,1.15262381141008
"PS",1.06391119153948,1.07255210751826
"MTWQ",1.19902087448724,1.83784254256113
"PDQ",1.05508992746992,1.01727374750653
"RAD",1.0464302672801,1.05635240292759
"WIND",1.11248705112311,1.12418307570189
"AI",1.12370325639311,1.26822292874734
"ET0",1.13596916209533,1.1383586244752
"AMTd",1.16712428411765,1.79200188309873
"APd",1.00856051880629,1.01157862290656
"AMTsd",1.07786372743976,1.02325279184307
"APsd",1.07993036897667,1.04103841196235
"CSI",1.02809106587862,1.15507723729938
"BULK",1.01426999184162,1.04689133391781
"ECE",1.02377339961782,1.02013807004106
"OC",1.03068832278248,1.02366376069097
"PH",1.04288437119272,1.07401711884792
"SAND",1.03136736858146,1.05213547793376
"Soildiv",1.24640982366154,1.01540295982309
