"","H_Rank","Indeterminate_adj"
"Altitude",1.88727837705999e-11,3.28641030633079e-11
"Slope",6.49262674679884e-24,1.52767170802796e-11
"AMT",9.79156273432067e-14,5.53579919586634e-22
"AP",5.01555408348029e-11,9.33138434650193e-11
"MDTR",3.79629179192169e-08,2.32890999123297e-17
"ISO",4.22776286595806e-12,2.07148416916849e-09
"TS",6.99339466851761e-14,7.81673331608268e-09
"PS",3.80449627087546e-19,9.48455543104066e-21
"MTWQ",1.54129893605788e-09,6.80789939748287e-25
"PDQ",4.82667360053753e-07,2.73369416309332e-11
"RAD",6.54646013690277e-23,6.3601621276332e-16
"WIND",4.11228372126582e-23,2.47909005543398e-17
"AI",1.37350996975238e-09,3.61624099696086e-15
"ET0",1.7639532622324e-11,2.42148687731558e-15
"AMTd",2.95672168444974e-10,2.01967246073814e-39
"APd",7.96161984794529e-05,3.08181930395414e-14
"AMTsd",1.10702705307799e-20,1.01077862365191e-11
"APsd",8.67070736714499e-26,5.33411502445024e-30
"CSI",2.47656463364944e-13,2.25470716311947e-52
"BULK",4.03336133280674e-13,4.08200342562995e-22
"ECE",1.06885476674235e-06,1.13340249387371e-15
"OC",4.13086568255051e-16,1.78862148340014e-13
"PH",5.48036684961698e-28,1.96905690448721e-41
"SAND",1.37791782543748e-20,4.03248006935473e-16
"Soildiv",1.08038839441485e-63,3.97972504726393e-14
