"","H_Rank","Indeterminate_adj"
"Altitude",0.000281137644565252,9.48951023394869e-05
"Slope",0.000148543710202464,4.46748648394349e-05
"AMT",0.000300666139445153,0.000237574330353989
"AP",0.000243637900030406,0.000103196399523426
"MDTR",0.00019615307762979,0.000122012798071288
"ISO",0.000267436465160856,0.000103391493431415
"TS",0.000309327608002959,9.82913567310974e-05
"PS",0.000148876633545791,7.01918467884671e-05
"MTWQ",0.000270426186543203,0.000355811746664276
"PDQ",0.000122202408754118,3.5053577461326e-05
"RAD",0.000123417225567245,8.5886259124808e-05
"WIND",0.00018523907041158,0.000110053920995743
"AI",0.000194267628699315,0.000137165857548861
"ET0",0.000169337027520129,0.000117157779090625
"AMTd",0.000288564631645573,0.000307970084814161
"APd",3.59220011333816e-05,2.59747114086117e-05
"AMTsd",0.000161155066907321,4.40172301076919e-05
"APsd",0.000185105706103833,5.55132838077735e-05
"CSI",9.40908593502748e-05,0.000113702696097862
"BULK",5.90948440356545e-05,4.98632785324089e-05
"ECE",6.6982873106869e-05,3.8950136045616e-05
"OC",9.86117087899573e-05,3.47444543306736e-05
"PH",0.000117879094909475,7.5400586043831e-05
"SAND",9.83036618310986e-05,6.10334970492505e-05
"Soildiv",0.000276469292943471,3.17586490235535e-05
