"","H_Rank","Indeterminate_adj"
"Altitude",5.93320977830257e-17,3.18265254616785e-13
"Slope",2.41462394495797e-17,1.0645452095873e-10
"AMT",4.7575447578868e-15,7.2560517119406e-15
"AP",2.1752324549002e-13,2.82553812255284e-14
"MDTR",2.20908611484781e-09,7.54371484298886e-15
"ISO",5.23916672230181e-16,1.06928033120245e-16
"TS",1.10512661764494e-12,2.06754292121835e-13
"PS",1.11952281832678e-13,1.70294314252271e-15
"MTWQ",6.15036213342731e-16,8.74660333266212e-15
"PDQ",5.98755559192199e-16,2.7124244513193e-13
"RAD",6.30578955323447e-18,1.01619543784424e-16
"WIND",8.87386411218925e-17,4.71197832641755e-20
"AI",4.57246695568761e-12,4.28690599656801e-15
"ET0",4.89202459820105e-15,3.05743047868884e-18
"AMTd",2.12703661550268e-07,8.45093787676778e-20
"APd",6.30420516406207e-17,8.87144462938475e-16
"AMTsd",1.11058917930866e-18,4.71769888276582e-11
"APsd",6.2378390578012e-25,4.47898804794325e-20
"CSI",1.90965231926336e-11,4.08521473315729e-22
"BULK",5.33054226875097e-13,1.72896251907681e-16
"ECE",8.60593106757641e-09,7.42304114120997e-14
"OC",1.50933250487098e-17,7.54550934959725e-15
"PH",1.05892711994692e-17,3.67437736153178e-20
"SAND",6.59779880029543e-17,1.87819806408553e-20
"Soildiv",2.80185326564665e-23,2.23970064895206e-16
