"","H_Rank","Indeterminate_adj"
"Altitude",1.95873805017101,0.663684286358225
"Slope",2.32882814207571,0.382889625178903
"AMT",2.95306506082462,2.42786311917993
"AP",4.14741199880834,3.22208534378484
"MDTR",1.71952428761618,0.928821833071965
"ISO",1.55203543366518,0.883678092090692
"TS",1.65139080257445,0.399978430416394
"PS",1.64231071709495,0.387747336420816
"MTWQ",1.59157508725516,0.591840991380699
"PDQ",5.53052380660642,1.16621164968963
"RAD",3.34789334139924,0.428258727299145
"WIND",2.76197996767996,0.463112318054955
"AI",2.80141577453735,1.06112277007277
"ET0",2.05866627008511,0.299851273332746
"AMTd",3.12971307719964,1.25519668301519
"APd",1.47969370986585,0.326854279070317
"AMTsd",1.78711755631905,0.458878292939351
"APsd",1.67098438822675,0.421822223988221
"CSI",3.19655570663696,0.439481795475363
"BULK",1.79383038253839,0.339483153673109
"ECE",1.61626408993893,0.320175020456631
"OC",1.45530358139436,0.351373949006336
"PH",4.13822147631247,0.455431092892721
"SAND",1.22017982960391,0.319263937529019
"Soildiv",4.46183035914255,0.264694346990558
