"","H_Rank","Indeterminate_adj"
"Altitude",1.71734162027369e-29,0.0162191074547408
"Slope",0.189301658711358,3.88573461889757e-87
"AMT",3.23620189019097e-42,6.21989083913302e-46
"AP",1.16568850535036e-56,1.79184904337482e-37
"MDTR",2.8997302054414e-37,1.07562975484409e-10
"ISO",5.79248801743266e-78,4.1870857620951e-11
"TS",1.9345215185318e-61,5.46861528205518e-58
"PS",1.2843571127588e-55,1.20570452828908e-80
"MTWQ",4.11093401339787e-49,2.01907181305972e-07
"PDQ",2.22267452129233e-47,5.31698832263766e-26
"RAD",3.49672123161734e-30,1.85258378143642e-78
"WIND",1.47333639262713e-14,1.31300688523632e-68
"AI",4.2030762530046e-11,2.21837838375792e-20
"ET0",1.15178342167289e-12,5.33627238465111e-92
"AMTd",3.4876860558238e-44,1.86422405119651e-26
"APd",1.2605261458251e-86,7.08140079835771e-86
"AMTsd",1.29286101665314e-51,2.00845270079932e-36
"APsd",2.12043925835673e-65,6.10229296952477e-79
"CSI",6.71910942759835e-22,1.47098690013085e-68
"BULK",3.20373569575348e-58,6.81693875971312e-81
"ECE",3.87411161055451e-86,3.14656351727453e-109
"OC",2.86867601315457e-77,3.25545042338904e-97
"PH",3.66987235728023e-46,9.1699757390099e-78
"SAND",1.94928140938625e-87,1.3341027238775e-90
"Soildiv",9.21011481064582e-53,5.32890643628302e-109
