"","H_Rank","Indeterminate_adj"
"Altitude",0.865388280791956,9.57629783323229e-64
"Slope",4.30554929967577e-36,2.58678079088166e-15
"AMT",3.81142574576693e-74,5.56943030412394e-58
"AP",7.13890813272889e-84,8.96643478073557e-45
"MDTR",0.00400966625323881,3.76400489985527e-25
"ISO",5.74838851181541e-18,1.16845762043058e-31
"TS",3.34647500132303e-05,7.25066814900154e-05
"PS",3.25716829807536e-05,0.00332300785832847
"MTWQ",0.281596808642998,2.09866756588076e-39
"PDQ",6.30928603855786e-67,5.53193580658496e-41
"RAD",1.81025510638187e-65,7.69669628136636e-14
"WIND",1.23233039877271e-51,0.0753799534611098
"AI",2.63774320777364e-23,2.13167938509233e-40
"ET0",1.56066005877657e-12,4.78706226647601e-20
"AMTd",1.56464772491483e-70,5.28114026323206e-35
"APd",2.81978958612002e-13,5.40698362629812e-15
"AMTsd",2.36907287587171e-06,0.00734135567130206
"APsd",5.8061824782138e-09,7.87452333625919e-05
"CSI",1.87469150776018e-37,4.59843582833266e-19
"BULK",0.0337591522859625,1.40516231097051e-21
"ECE",3.11518443873171e-15,7.07526758001147e-18
"OC",2.09243778471686e-23,4.94465416820882e-17
"PH",3.46984488090362e-71,0.217214761550473
"SAND",2.73427542674414e-28,1.58704706095721e-27
"Soildiv",1.98643330078979e-69,6.24344681998672e-36
