"","H_Rank","Indeterminate_adj"
"Altitude",1.09049232206822,1.04339895105867
"Slope",1.07998033250223,1.03920727758402
"AMT",1.06106025260219,1.08914568730381
"AP",1.04914930462631,1.05757991882245
"MDTR",1.0589654250038,1.11337510675899
"ISO",1.07074768989728,1.03814015577133
"TS",1.09022342810368,1.04747737554608
"PS",1.06446170467118,1.06298773894537
"MTWQ",1.05199946212034,1.09978429731675
"PDQ",1.05772317519659,1.03162593614807
"RAD",1.05285555530398,1.04315647622416
"WIND",1.12555157882387,1.0767102964125
"AI",1.06034734593291,1.09336917518128
"ET0",1.06768442081449,1.04435107032834
"AMTd",1.07621293471115,1.09870550798883
"APd",1.0397387651605,1.03364652600696
"AMTsd",1.0549806998288,1.04966430875451
"APsd",1.05884085481084,1.07258855065552
"CSI",1.05834370005419,1.13330926381699
"BULK",1.05411904255723,1.04917447139006
"ECE",1.04899474985334,1.04300447579508
"OC",1.06013736928629,1.05183928875766
"PH",1.06055640139935,1.0622413622625
"SAND",1.06504119458746,1.06503415496919
"Soildiv",1.19385592615158,1.04777211575779
