"","H_Rank","Indeterminate_adj"
"Altitude",3.94684267592099e-13,6.05672637139041e-11
"Slope",8.1271346616132e-31,5.04364053116844e-12
"AMT",1.95305136183148e-23,8.67844153542818e-17
"AP",6.95523814459242e-19,3.0090469577985e-11
"MDTR",1.08009748675363e-19,1.06503899407756e-28
"ISO",6.35013705364476e-24,1.22224721389157e-12
"TS",5.53987354202289e-15,5.08116690789583e-10
"PS",1.80519859078106e-22,2.61768424959849e-14
"MTWQ",2.01619265028316e-17,5.22269109662031e-13
"PDQ",3.0131290857867e-15,3.67181864549931e-08
"RAD",1.74935429350715e-17,3.16379132490707e-11
"WIND",6.1086606735078e-38,5.32742884609801e-20
"AI",3.83605307824047e-22,1.2331583273529e-14
"ET0",1.56550958356627e-24,1.25355940804608e-10
"AMTd",6.24449613631211e-28,5.56180501300422e-14
"APd",6.11711210808704e-24,1.83312558449152e-10
"AMTsd",6.23958799277589e-20,9.25496491858535e-10
"APsd",2.04552319110674e-20,1.87299540818437e-20
"CSI",3.28910157794729e-24,1.91663124132125e-32
"BULK",1.10067945099774e-20,3.4717498685415e-18
"ECE",2.09397879408024e-21,3.70969165795717e-12
"OC",2.11964241675027e-23,5.3860806228061e-16
"PH",5.44165132169192e-22,1.61809329806399e-16
"SAND",5.38750034718519e-23,7.11505954989471e-21
"Soildiv",7.576281402525e-62,2.84103871731446e-12
