"","H_Rank","Indeterminate_adj"
"Altitude",0.000119185297347818,3.96642248780225e-05
"Slope",0.000108211241825215,4.18205128402309e-05
"AMT",0.000123836622094618,6.4069651632993e-05
"AP",8.39673487884701e-05,4.91137270092561e-05
"MDTR",9.92707065835094e-05,7.16932790506518e-05
"ISO",0.000128297561773901,4.37249961249202e-05
"TS",0.000113015110189332,3.81855098573166e-05
"PS",0.000100210628423865,5.54379309830114e-05
"MTWQ",9.152907254321e-05,7.35923037535901e-05
"PDQ",0.000103078741732997,3.49702197585531e-05
"RAD",9.41903262170451e-05,4.13898131309221e-05
"WIND",0.000170526663785254,6.05005209116335e-05
"AI",0.000110890781942103,5.84444783737614e-05
"ET0",0.000118055130242464,4.42902880080079e-05
"AMTd",0.00010816062769102,5.96378812879308e-05
"APd",7.41892564100252e-05,4.05320782449342e-05
"AMTsd",9.96091635900163e-05,3.83628364995665e-05
"APsd",0.000113015173137989,5.16293947284851e-05
"CSI",0.000104194001634779,7.1933985930324e-05
"BULK",0.000108268266284416,4.89529743530594e-05
"ECE",0.000102939440178382,4.50438492718472e-05
"OC",0.000128528705145075,5.14275137972377e-05
"PH",0.000112005751901082,5.07958084402077e-05
"SAND",0.000108787247623652,6.58152956776058e-05
"Soildiv",0.000296211585634836,4.621010397914e-05
