"","H_Rank","Indeterminate_adj"
"Altitude",2.97570728433747e-13,6.47495697888777e-15
"Slope",2.19133180055642e-19,5.19102265152739e-14
"AMT",2.97722573034377e-17,1.14826941219507e-12
"AP",1.85740035237853e-15,7.75375956786168e-19
"MDTR",1.5602843987212e-12,8.13091862442275e-16
"ISO",5.91098159377209e-15,1.43715977739742e-16
"TS",5.33618519605616e-09,3.87972693108986e-12
"PS",1.20080645232273e-14,3.09868432071577e-15
"MTWQ",6.16894878565696e-16,7.7111613803195e-14
"PDQ",7.38551051877203e-10,2.04591069000167e-15
"RAD",3.48516521314652e-14,2.49190370642156e-12
"WIND",1.52246394722601e-20,2.33976372643235e-15
"AI",2.06695724217678e-19,2.26505815874388e-15
"ET0",3.30025819205962e-17,2.96611524634051e-09
"AMTd",9.13821136970719e-15,1.40851388162302e-09
"APd",4.34095263761254e-19,8.64599426416346e-15
"AMTsd",4.74261132685284e-16,7.39253204131379e-14
"APsd",1.00079122011523e-14,1.07990243648332e-12
"CSI",2.6679574064766e-16,6.79609031817853e-18
"BULK",4.3024973250309e-11,1.06571384076637e-16
"ECE",1.30766075733144e-13,4.72233547203547e-15
"OC",5.04886072603409e-21,4.73969742495733e-17
"PH",1.29252280713249e-16,1.1213242029627e-17
"SAND",4.30270185911349e-14,3.63120188357318e-17
"Soildiv",1.01759529352559e-20,3.13777473569168e-14
