CNPollinationID,Grid_ID,S_ID,Pollination
P00009,662,663,Beetles
P00009,776,777,Beetles
P00009,18,19,Beetles
P00009,308,309,Beetles
P00009,944,945,Beetles
P00033,763,764,Beetles
P00061,562,563,Beetles
P00061,763,764,Beetles
P00061,259,260,Beetles
P00071,308,309,Beetles
P00074,496,497,Beetles
P00074,1034,1035,Beetles
P00074,905,906,Beetles
P00075,308,309,Beetles
P00078,763,764,Beetles
P00078,562,563,Beetles
P00079,841,842,Beetles
P00079,308,309,Beetles
P00079,820,821,Beetles
P00079,523,524,Beetles
P00079,665,666,Beetles
P00079,0,1,Beetles
P00079,635,636,Beetles
P00080,836,837,Beetles
P00080,1034,1035,Beetles
P00094,562,563,Beetles
P00104,123,124,Beetles
P00107,1001,1002,Beetles
P00109,308,309,Beetles
P00111,655,656,Beetles
P00111,308,309,Beetles
P00119,633,634,Beetles
P00137,308,309,Beetles
P00149,308,309,Beetles
P00153,844,845,Beetles
P00167,836,837,Beetles
P00167,722,723,Beetles
P00167,817,818,Beetles
P00168,822,823,Beetles
P00168,817,818,Beetles
P00168,308,309,Beetles
P00168,261,262,Beetles
P00168,640,641,Beetles
P00168,821,822,Beetles
P00168,905,906,Beetles
P00168,281,282,Beetles
P00172,349,350,Beetles
P00176,802,803,Beetles
P00184,808,809,Beetles
P00184,763,764,Beetles
P00184,423,424,Beetles
P00191,372,373,Beetles
P00191,154,155,Beetles
P00191,665,666,Beetles
P00191,308,309,Beetles
P00215,832,833,Beetles
P00215,540,541,Beetles
P00215,822,823,Beetles
P00215,455,456,Beetles
P00215,849,850,Beetles
P00215,973,974,Beetles
P00215,665,666,Beetles
P00215,395,396,Beetles
P00215,353,354,Beetles
P00215,956,957,Beetles
P00315,836,837,Beetles
P00326,584,585,Beetles
P00328,817,818,Beetles
P00328,32,33,Beetles
P00328,905,906,Beetles
P00328,606,607,Beetles
P00328,107,108,Beetles
P00328,181,182,Beetles
P00332,763,764,Beetles
P00332,353,354,Beetles
P00332,227,228,Beetles
P00332,808,809,Beetles
P00332,468,469,Beetles
P00332,27,28,Beetles
P00332,902,903,Beetles
P00332,887,888,Beetles
P00343,490,491,Beetles
P00343,512,513,Beetles
P00343,809,810,Beetles
P00348,135,136,Beetles
P00348,665,666,Beetles
P00348,259,260,Beetles
P00348,395,396,Beetles
P00348,662,663,Beetles
P00355,665,666,Beetles
P00355,154,155,Beetles
P00355,832,833,Beetles
P00355,3,4,Beetles
P00355,372,373,Beetles
P00355,308,309,Beetles
P00355,520,521,Beetles
P00355,817,818,Beetles
P00355,1054,1055,Beetles
P00355,573,574,Beetles
P00357,1007,1008,Beetles
P00372,665,666,Beetles
P00372,261,262,Beetles
P00375,423,424,Beetles
P00375,808,809,Beetles
P00375,903,904,Beetles
P00375,763,764,Beetles
P00390,849,850,Beetles
P00390,562,563,Beetles
P00390,295,296,Beetles
P00390,763,764,Beetles
P00390,808,809,Beetles
P00390,423,424,Beetles
P00390,0,1,Beetles
P00390,455,456,Beetles
P00390,523,524,Beetles
P00390,910,911,Beetles
P00390,532,533,Beetles
P00390,497,498,Beetles
P00390,308,309,Beetles
P00390,1082,1083,Beetles
P00390,182,183,Beetles
P00390,373,374,Beetles
P00395,68,69,Beetles
P00395,727,728,Beetles
P00395,301,302,Beetles
P00395,925,926,Beetles
P00395,444,445,Beetles
P00395,1084,1085,Beetles
P00395,501,502,Beetles
P00395,384,385,Beetles
P00395,818,819,Beetles
P00395,682,683,Beetles
P00395,855,856,Beetles
P00406,665,666,Beetles
P00406,804,805,Beetles
P00406,18,19,Beetles
P00406,583,584,Beetles
P00406,0,1,Beetles
P00468,1027,1028,Beetles
P00468,804,805,Beetles
P00468,423,424,Beetles
P00468,154,155,Beetles
P00468,662,663,Beetles
P00468,665,666,Beetles
P00468,182,183,Beetles
P00468,573,574,Beetles
P00480,155,156,Beetles
P00480,662,663,Beetles
P00480,177,178,Beetles
P00480,299,300,Beetles
P00506,808,809,Beetles
P00506,763,764,Beetles
P00514,849,850,Beetles
P00514,231,232,Beetles
P00514,562,563,Beetles
P00514,353,354,Beetles
P00514,1079,1080,Beetles
P00514,423,424,Beetles
P00515,849,850,Beetles
P00515,259,260,Beetles
P00515,423,424,Beetles
P00515,3,4,Beetles
P00515,496,497,Beetles
P00515,573,574,Beetles
P00515,562,563,Beetles
P00515,218,219,Beetles
P00515,665,666,Beetles
P00515,832,833,Beetles
P00515,662,663,Beetles
P00515,474,475,Beetles
P00515,1054,1055,Beetles
P00515,844,845,Beetles
P00580,763,764,Beetles
P00581,808,809,Beetles
P00581,818,819,Beetles
P00614,423,424,Beetles
P00635,1004,1005,Beetles
P00635,665,666,Beetles
P00635,261,262,Beetles
P00635,619,620,Beetles
P00641,182,183,Beetles
P00668,763,764,Beetles
P00674,259,260,Beetles
P00674,662,663,Beetles
P00674,804,805,Beetles
P00674,590,591,Beetles
P00674,665,666,Beetles
P00674,308,309,Beetles
P00683,562,563,Beetles
P00694,3,4,Beetles
P00694,1034,1035,Beetles
P00694,760,761,Beetles
P00694,603,604,Beetles
P00694,395,396,Beetles
P00694,267,268,Beetles
P00694,260,261,Beetles
P00694,316,317,Beetles
P00694,776,777,Beetles
P00694,905,906,Beetles
P00694,887,888,Beetles
P00694,223,224,Beetles
P00694,336,337,Beetles
P00711,849,850,Beetles
P00744,81,82,Beetles
P00744,3,4,Beetles
P00744,844,845,Beetles
P00830,3,4,Beetles
P00832,849,850,Beetles
P00837,259,260,Beetles
P00870,808,809,Beetles
P00870,763,764,Beetles
P00870,423,424,Beetles
P00870,182,183,Beetles
P00870,1079,1080,Beetles
P00870,231,232,Beetles
