FlowerID,Inflorescence,OccNum_All,OccNum_Beetles,OccNum_Flies,OccNum_Bees,OccNum_Wasps,OccNum_Butterflies,OccNum_Moths
F00001,I,0.296304745,0.357142857,0.274193548,0.524590164,0.206666667,0.425061425,0.217245241
F00002,I,0.769616788,0.767857143,0.64800759,0.803278689,0.546666667,0.844389844,0.807950728
F00003,I,0.105383212,0.044642857,0.046489564,0.147540984,0.013333333,0.226863227,0.06718925
F00004,I,0.209625912,0.3125,0.200189753,0.327868852,0.133333333,0.271908272,0.168533035
F00005,I,0.033074818,0.017857143,0.021821632,0.049180328,0.033333333,0.060606061,0.021276596
F00006,I,0.084625912,0.035714286,0.124288425,0.06557377,0.073333333,0.131040131,0.034154535
F00007,I,0.060218978,0.035714286,0.122390892,0.049180328,0.06,0.057330057,0.02743561
F00008,I,0.376824818,0.258928571,0.391840607,0.606557377,0.3,0.486486486,0.298992161
F00009,I,0.52600365,0.544642857,0.59487666,0.786885246,0.46,0.616707617,0.41881299
F00011,D,0.079835766,0.008928571,0.045540797,0.06557377,0,0.135954136,0.073348264
F00012,D,0.03854927,0,0.051233397,0.032786885,0.013333333,0.06961507,0.014557671
F00013,I,0.120666058,0.071428571,0.130929791,0.245901639,0.046666667,0.19000819,0.072228443
F00015,I,0.207116788,0.125,0.190702087,0.31147541,0.113333333,0.28992629,0.169652856
F00016,I,0.072308394,0.098214286,0.060721063,0.131147541,0.086666667,0.11957412,0.041993281
F00017,I,0.009580292,0.008928571,0.001897533,0,0.006666667,0.022932023,0.005599104
F00019,I,0.409215328,0.464285714,0.411764706,0.655737705,0.333333333,0.526617527,0.321948488
F00020,I,0.140054745,0.044642857,0.135673624,0.245901639,0.06,0.235053235,0.086786114
F00021,I,0.719206204,0.705357143,0.674573055,0.852459016,0.713333333,0.788697789,0.694848824
F00022,I,0.165145985,0.0625,0.117647059,0.147540984,0.08,0.258804259,0.143337066
F00023,I,0.214187956,0.098214286,0.211574953,0.295081967,0.16,0.278460278,0.180851064
F00024,I,0.166742701,0.044642857,0.172675522,0.196721311,0.046666667,0.221949222,0.142217245
F00026,I,0.276459854,0.142857143,0.25142315,0.344262295,0.2,0.366093366,0.242441209
F00027,I,0.072080292,0.017857143,0.025616698,0.06557377,0.026666667,0.152334152,0.052071669
F00028,I,0.100593066,0.026785714,0.098671727,0.147540984,0.033333333,0.16953317,0.063269877
F00029,I,0.11040146,0.026785714,0.116698292,0.147540984,0.093333333,0.174447174,0.068309071
F00030,I,0.369981752,0.267857143,0.35483871,0.491803279,0.3,0.416871417,0.354983203
F00032,I,0.351961679,0.267857143,0.312144213,0.459016393,0.286666667,0.390663391,0.356103024
F00034,I,0.038321168,0.017857143,0.026565465,0.081967213,0.02,0.09009009,0.011198208
F00035,I,0.006614964,0.008928571,0.000948767,0,0,0.014742015,0.005039194
F00036,I,0.14895073,0.044642857,0.14800759,0.196721311,0.046666667,0.204750205,0.124860022
F00037,I,0.015282847,0,0.028462998,0,0,0.021294021,0.006159015
F00038,I,0.003421533,0,0,0,0,0.011466011,0.00055991
F00039,I,0.154653285,0.026785714,0.087286528,0.163934426,0.013333333,0.281736282,0.127099664
F00041,I,0.009808394,0,0.001897533,0.016393443,0,0.028665029,0.002799552
F00042,I,0.365875912,0.223214286,0.176470588,0.180327869,0.093333333,0.386568387,0.501679731
F00043,I,0.121578467,0.044642857,0.111005693,0.229508197,0.053333333,0.212940213,0.072228443
F00044,I,0.355611314,0.392857143,0.200189753,0.442622951,0.186666667,0.416871417,0.414333707
F00045,I,0.216240876,0.125,0.199240987,0.262295082,0.06,0.348075348,0.153415454
F00046,I,0.129790146,0.035714286,0.132827324,0.147540984,0.033333333,0.176904177,0.109182531
F00047,I,0.258439781,0.169642857,0.214421252,0.327868852,0.24,0.289107289,0.268197088
F00052,I,0.179516423,0.044642857,0.159392789,0.213114754,0.066666667,0.247338247,0.16181411
F00053,I,0.043339416,0.017857143,0.029411765,0.032786885,0,0.0999181,0.018477044
F00054,I,0.09899635,0.026785714,0.096774194,0.131147541,0.02,0.180999181,0.05431131
F00055,I,0.005018248,0,0.001897533,0.016393443,0,0.013923014,0.001119821
F00056,I,0.086222628,0.017857143,0.036053131,0.098360656,0.013333333,0.164619165,0.072228443
F00057,I,0.160127737,0.044642857,0.15654649,0.213114754,0.113333333,0.222768223,0.128779395
F00059,I,0.358804745,0.375,0.409867173,0.573770492,0.36,0.4004914,0.291713326
F00060,I,0.005702555,0,0.014231499,0.016393443,0,0.005733006,0.001119821
F00061,I,0.05725365,0.026785714,0.025616698,0.114754098,0.02,0.143325143,0.020156775
F00062,I,0.128649635,0.080357143,0.117647059,0.245901639,0.066666667,0.207207207,0.085666293
F00063,I,0.113366788,0.035714286,0.114800759,0.147540984,0.033333333,0.185913186,0.073348264
F00065,I,0.049270073,0.017857143,0.035104364,0.131147541,0.02,0.099099099,0.025195969
F00066,I,0.190009124,0.357142857,0.184060721,0.393442623,0.12,0.267813268,0.128779395
F00067,I,0.076642336,0.035714286,0.055028463,0.245901639,0.046666667,0.132678133,0.050391937
F00068,I,0.007071168,0,0.001897533,0.016393443,0,0.016380016,0.004479283
F00069,I,0.026687956,0.017857143,0.017077799,0.098360656,0.02,0.05978706,0.008398656
F00070,I,0.055885036,0.008928571,0.037001898,0.06557377,0,0.110565111,0.036954087
F00071,I,0.086222628,0.035714286,0.054079696,0.147540984,0.033333333,0.171171171,0.052631579
F00074,I,0.105611314,0.053571429,0.045540797,0.114754098,0.033333333,0.233415233,0.062709966
F00075,I,0.109260949,0.080357143,0.075901328,0.229508197,0.1,0.217035217,0.0537514
F00076,I,0.16560219,0.080357143,0.121442125,0.262295082,0.08,0.301392301,0.10806271
F00077,I,0.10629562,0.026785714,0.080645161,0.131147541,0.08,0.19000819,0.070548712
F00078,I,0.042883212,0.026785714,0.046489564,0.180327869,0.046666667,0.062244062,0.023516237
F00079,I,0.076870438,0.017857143,0.046489564,0.163934426,0.026666667,0.136773137,0.058790594
F00080,I,0.176551095,0.053571429,0.112903226,0.196721311,0.033333333,0.300573301,0.14837626
F00081,I,0.042198905,0.017857143,0.04459203,0.098360656,0.026666667,0.079443079,0.016237402
F00083,I,0.22604927,0.107142857,0.178368121,0.245901639,0.1,0.380835381,0.165733483
F00084,I,0.549726277,0.517857143,0.612903226,0.704918033,0.493333333,0.659295659,0.438969765
F00085,I,0.061131387,0.008928571,0.028462998,0.081967213,0,0.129402129,0.041433371
F00086,I,0.113138686,0.089285714,0.092030361,0.098360656,0.02,0.202293202,0.074468085
F00087,I,0.09899635,0.026785714,0.042694497,0.114754098,0.033333333,0.19000819,0.079507279
F00088,I,0.208485401,0.053571429,0.123339658,0.278688525,0.06,0.386568387,0.156774916
F00089,I,0.026916058,0.017857143,0.017077799,0.098360656,0.02,0.060606061,0.008398656
F00090,I,0.001140511,0,0,0,0,0.004095004,0
F00093,I,0.146213504,0.098214286,0.101518027,0.31147541,0.08,0.256347256,0.100223964
F00094,I,0.123175182,0.035714286,0.046489564,0.147540984,0.033333333,0.277641278,0.075027996
F00095,I,0.401687956,0.5,0.439278937,0.672131148,0.34,0.482391482,0.314109742
F00096,I,0.115875912,0.1875,0.117647059,0.147540984,0.026666667,0.17035217,0.079507279
F00097,I,0.393476277,0.267857143,0.155597723,0.278688525,0.206666667,0.419328419,0.543673012
F00098,I,0.063640511,0.017857143,0.038899431,0.131147541,0.026666667,0.123669124,0.04087346
F00099,I,0.136861314,0.035714286,0.055028463,0.147540984,0.033333333,0.244062244,0.126539754
F00102,I,0.044708029,0.008928571,0.019924099,0.032786885,0.013333333,0.090909091,0.033034714
F00103,I,0.124315693,0.035714286,0.118595825,0.147540984,0.033333333,0.174447174,0.105823068
F00105,I,0.002509124,0.008928571,0.0028463,0.032786885,0,0.002457002,0.001119821
F00106,I,0.299270073,0.276785714,0.295066414,0.442622951,0.1,0.465192465,0.201567749
F00107,I,0.000684307,0,0,0,0,0.000819001,0.001119821
F00108,I,0.006386861,0,0.0028463,0.016393443,0,0.012285012,0.005039194
F00109,I,0.004333942,0,0.001897533,0,0,0.011466011,0.001679731
F00112,I,0.043111314,0.017857143,0.018026565,0.06557377,0.02,0.103194103,0.019596865
F00116,I,0.109260949,0.026785714,0.062618596,0.131147541,0.04,0.194922195,0.088465845
F00118,I,0.108576642,0.026785714,0.059772296,0.131147541,0.026666667,0.232596233,0.063829787
F00119,I,0.100593066,0.008928571,0.072106262,0.081967213,0,0.202293202,0.062709966
F00120,I,0.013686131,0,0.020872865,0.016393443,0.02,0.01965602,0.005599104
F00122,I,0.145301095,0.044642857,0.127134725,0.245901639,0.06,0.222768223,0.113101904
F00123,I,0.049270073,0.017857143,0.035104364,0.131147541,0.02,0.099099099,0.025195969
F00125,I,0.11770073,0.026785714,0.140417457,0.147540984,0.04,0.179361179,0.073348264
F00126,I,0.127737226,0.053571429,0.048387097,0.131147541,0.033333333,0.264537265,0.093505039
F00127,I,0.031478102,0.008928571,0.017077799,0.032786885,0.013333333,0.052416052,0.028555431
F00128,I,0.370437956,0.214285714,0.197343454,0.393442623,0.146666667,0.515970516,0.400895857
F00130,I,0.109489051,0.035714286,0.081593928,0.114754098,0.02,0.245700246,0.044792833
F00131,I,0.164917883,0.285714286,0.178368121,0.37704918,0.093333333,0.199017199,0.124860022
F00132,I,0.081888686,0.044642857,0.074952562,0.245901639,0.086666667,0.148239148,0.036954087
F00134,I,0.072308394,0.008928571,0.04459203,0.147540984,0.013333333,0.171990172,0.0268757
F00135,I,0.105155109,0.017857143,0.060721063,0.163934426,0.02,0.171990172,0.096304591
F00137,I,0.427007299,0.330357143,0.223908918,0.278688525,0.213333333,0.442260442,0.565509518
F00138,I,0.067974453,0.017857143,0.052182163,0.131147541,0.02,0.112203112,0.052071669
F00139,I,0.076870438,0.035714286,0.041745731,0.131147541,0.013333333,0.160524161,0.046472564
F00140,I,0.090100365,0.035714286,0.069259962,0.114754098,0.02,0.190827191,0.041993281
F00141,I,0.069114964,0.017857143,0.045540797,0.147540984,0.02,0.144144144,0.036394177
