FlowerID,Inflorescence,COI_All,COI_Beetles,COI_Flies,COI_Bees,COI_Wasps,COI_Butterflies,COI_Moths
F00001,I,7.462024576,7.927906468,6.379066825,11.8605932,3.423049899,13.22622513,3.786082277
F00002,I,11.64472414,9.843495303,8.711296257,10.28836179,5.266611041,14.98403111,9.303618924
F00003,I,9.687454729,3.419632096,3.343982101,11.05527893,0.456946899,24.22427022,4.542285096
F00004,I,6.863946705,9.439648466,5.957882964,9.482341797,2.875316936,10.77911744,3.955352976
F00005,I,-0.081818748,-0.551293551,-0.479424014,0.412146328,-0.055553368,1.099095074,-0.387466306
F00006,I,4.76485796,1.328214733,7.042822059,2.959631305,2.823914045,8.593570016,1.080851242
F00007,I,3.024390415,1.250930992,6.623067719,1.909623599,2.094552462,3.151154126,0.694599757
F00008,I,5.236593281,2.404228367,5.242690924,8.418286718,2.576861357,8.615219515,2.720799263
F00009,I,6.364898939,5.600251286,7.016873978,9.185765391,3.671062493,9.200488975,3.314272959
F00011,D,11.84357358,0.974718183,6.704410138,8.108048204,-0.232916754,23.20306259,8.057467679
F00012,D,2.049229349,-0.646114586,2.709005214,1.333316539,0.122476959,4.800129463,0.241967766
F00013,I,15.28901355,7.768057511,16.90517509,26.41578357,4.300632617,27.48710845,6.728452608
F00015,I,9.549611528,4.759798029,8.044461844,12.26785829,3.397450534,15.99336148,5.730119088
F00016,I,5.934096014,7.208860341,4.345832916,9.307053094,5.000411669,11.42072861,2.417417987
F00017,I,-0.729594714,-0.634921837,-1.005571245,-0.962870884,-0.622243318,-0.182569942,-0.668233766
F00019,I,8.38398517,8.332240689,7.850981444,11.96563193,4.487858066,13.08908837,4.677554316
F00020,I,15.7208092,4.182074371,13.23600975,21.84682028,4.328434823,29.99446589,7.296876469
F00021,I,8.126734294,6.582169944,7.031248219,8.747334649,5.903908905,10.64078887,5.794538014
F00022,I,11.7199901,3.471684249,7.658904282,8.700969091,3.883214498,20.9261389,7.549970286
F00023,I,10.33441843,3.712874138,9.412748758,11.96635936,5.217497296,15.84812145,6.428491886
F00024,I,10.20211748,1.833129044,10.10627219,10.30926712,1.573671518,15.20017306,6.434951481
F00026,I,10.25479822,4.164905073,8.546769999,10.98493047,5.23879753,16.26825526,6.656122577
F00027,I,8.990057046,1.699188667,2.996513004,6.8100055,2.334630109,21.9582519,4.780220007
F00028,I,22.25854762,5.599033615,19.43874632,25.37229506,5.021891475,46.49821802,10.52198682
F00029,I,12.28906877,2.338375574,11.31907796,12.94538091,6.941363784,22.11916945,5.670388459
F00030,I,9.720645846,5.601262729,8.708753178,11.03435927,5.504950578,12.93536638,6.955658906
F00032,I,12.13679233,7.767362169,9.778418995,13.41746029,7.161528828,15.81108303,9.23105333
F00034,I,3.947299732,1.416526176,2.213651962,7.011088002,1.19292007,11.15760818,0.643061882
F00035,I,1.275883069,1.740433349,-0.013412944,-0.176763361,-0.168035458,3.832178301,0.705094563
F00036,I,10.4981481,2.302590242,9.821865397,11.8105271,2.031380239,16.3824584,6.507254322
F00037,I,2.030370257,-0.27696498,4.073933484,-0.262815321,-0.232916754,3.358455669,0.480677284
F00038,I,0.562879905,-0.188866784,-0.202268859,-0.176763361,-0.168035458,2.929193333,-0.050050995
F00039,I,10.12588719,0.95428878,4.921389038,8.810913394,0.070339099,21.18545594,6.197373615
F00041,I,1.988886233,-0.188866784,0.175442971,2.662020908,-0.168035458,7.669864413,0.327521784
F00042,I,38.82013372,20.51204393,16.39639341,15.13678103,6.346902463,45.7206678,40.29421052
F00043,I,14.52414381,4.554649165,11.97815605,21.98010317,4.228175246,29.25842493,6.421439444
F00044,I,18.38090381,17.98731748,9.084738816,19.1487929,6.411457121,24.92756253,16.2428979
