Species,CNPollinationID,Pollination
Anastrangalia dissimilis,P00009,Beetles
Eustrangalis viridipennis,P00033,Beetles
Idiostrangalia sozanensis,P00061,Beetles
Lemula testaceipennis,P00071,Beetles
Leptura aethiops,P00074,Beetles
Leptura ambulatrix,P00075,Beetles
Leptura auratopilosa,P00078,Beetles
Leptura aurosericans,P00079,Beetles
Leptura duodecimguttata,P00080,Beetles
Mimostrangalia kappanzanensis,P00094,Beetles
Pachyta bicuneata,P00104,Beetles
Pachyta quadrimaculata,P00107,Beetles
Parastrangalis chekianga,P00109,Beetles
Parastrangalis crebrepunctata,P00111,Beetles
Parastrangalis palpalis,P00119,Beetles
Pidonia palleola,P00137,Beetles
Pygostrangalia tienmushana,P00149,Beetles
Rhondia placida,P00153,Beetles
Strangalia attenuata,P00167,Beetles
Strangalia fortunei,P00168,Beetles
Strangalomorpha tenuis,P00172,Beetles
Agasta formosa,P00176,Beetles
Agrosteomela chinensis,P00184,Beetles
Ambrostoma fortunei,P00191,Beetles
Chrysolina aurichalcea,P00215,Beetles
Chrysolina virgata,P00315,Beetles
Chrysomela lapponica,P00326,Beetles
Chrysomela populi,P00328,Beetles
Chrysomela vigintipunctata,P00332,Beetles
Entomoscelis adonidis,P00343,Beetles
Gastrolina depressa,P00348,Beetles
Gastrophysa atrocyanea,P00355,Beetles
Gastrophysa polygoni,P00357,Beetles
Gonioctena fulva,P00372,Beetles
Gonioctena kamikawai,P00375,Beetles
Gonioctena tredecimmaculata,P00390,Beetles
Humba cyanicollis,P00395,Beetles
Odontoedon fulvescens,P00406,Beetles
Phaedon brassicae,P00468,Beetles
Phola octodecimguttata,P00480,Beetles
Phratora similis,P00506,Beetles
Plagiodera septemvittata,P00514,Beetles
Plagiodera versicolora,P00515,Beetles
Aoria nigripes,P00580,Beetles
Aoria nucea,P00581,Beetles
Basilepta davidi,P00614,Beetles
Basilepta leechi,P00635,Beetles
Basilepta modesta,P00641,Beetles
Basilepta varians,P00668,Beetles
Bromius obscurus,P00674,Beetles
Chalcolema cylindrica,P00683,Beetles
Chrysochus chinensis,P00694,Beetles
Cleoporus variabilis,P00711,Beetles
Colasposoma dauricum,P00744,Beetles
Pachnephorus lewisii,P00830,Beetles
Pagria signata,P00832,Beetles
Parascela cribrata,P00837,Beetles
Platycorynus sauteri,P00870,Beetles
Platycorynus undatus,P00872,Beetles
Agonita chinensis,P00951,Beetles
Agonita tricolor,P00967,Beetles
Agonita unicolor,P00969,Beetles
Basiprionota angusta,P00987,Beetles
Basiprionota bisignata,P00989,Beetles
Basiprionota chinensis,P00990,Beetles
Basiprionota whitei,P01005,Beetles
Botryonopa bicolor,P01006,Beetles
Cassida deltoides,P01048,Beetles
Cassida fuscorufa,P01050,Beetles
Cassida inflata,P01054,Beetles
Cassida japana,P01055,Beetles
Cassida lineola,P01057,Beetles
Cassida nebulosa,P01061,Beetles
Cassida pallidicollis,P01063,Beetles
Cassida piperata,P01065,Beetles
Cassida virguncula,P01080,Beetles
Chiridopsis scalaris,P01093,Beetles
Craspedonta leayana,P01095,Beetles
Dactylispa angulosa,P01098,Beetles
Dactylispa basalIs,P01104,Beetles
Dactylispa excisa,P01122,Beetles
Dactylispa higoniae,P01133,Beetles
Dactylispa miyamotoi,P01154,Beetles
Dactylispa nigrodiscalis,P01156,Beetles
Dactylispa sauteri,P01174,Beetles
Dactylispa taiwana,P01193,Beetles
Dactylispa xanthospila,P01198,Beetles
Dicladispa armigera,P01201,Beetles
Downesia vandykei,P01224,Beetles
Epistictina viridimaculata,P01225,Beetles
Glyphocassis lepida,P01227,Beetles
Glyphocassis spilota,P01228,Beetles
Gonophora pulchella,P01234,Beetles
Hispa atra,P01236,Beetles
Hispellinus callicanthus,P01238,Beetles
Laccoptera quadrimaculata,P01252,Beetles
Lasiochila bicolor,P01259,Beetles
Notosacantha sauteri,P01302,Beetles
Platypria melli,P01325,Beetles
Rhadinosa fleutiauxi,P01333,Beetles
Rhadinosa nigrocyanea,P01335,Beetles
Thlaspida biramosa,P01412,Beetles
Thlaspida cribrosa,P01415,Beetles
Hololepta amurensis,P01517,Beetles
Margarinotus incognitus,P01558,Beetles
Merohister jekeli,P01578,Beetles
Nasaltus chinensis,P01580,Beetles
Nasaltus orientalis,P01581,Beetles
Notodoma fungorum,P01591,Beetles
Platysoma chinense,P01641,Beetles
Saprinus optabilis,P01672,Beetles
Sphaerites dimidiatus,P01696,Beetles
Agromyza albipennis,P01719,Flies
Agromyza cinerascens,P01722,Flies
Cerodontha denticornis,P01747,Flies
Chromatomyia horticola,P01765,Flies
Liriomyza bryoniae,P01779,Flies
Liriomyza chinensis,P01780,Flies
Liriomyza pusilla,P01786,Flies
Liriomyza sativae,P01787,Flies
Melanagromyza obtusa,P01805,Flies
Melanagromyza pubescens,P01809,Flies
Melanagromyza sojae,P01813,Flies
Ophiomyia centrosematis,P01829,Flies
Ophiomyia lantanae,P01835,Flies
Ophiomyia phaseoli,P01838,Flies
Adia cinerella,P01898,Flies
Anthomyia avisignata,P01938,Flies
Anthomyia illocata,P01942,Flies
Anthomyia plumiseta,P01949,Flies
Anthomyia plurinotata,P01950,Flies
Delia platura,P02227,Flies
Fucellia apicalis,P02300,Flies
Hydrophoria ruralis,P02315,Flies
Pegomya flavifrons,P02416,Flies
Cophinopoda chinensis,P02594,Flies
Damalis andron,P02597,Flies
Damalis beijingensis,P02599,Flies
Damalis grossa,P02604,Flies
Damalis vitripennis,P02616,Flies
Lagynogaster sauteri,P02650,Flies
Laphria mitsukurii,P02664,Flies
Microstylum dux,P02714,Flies
Nusa grisea,P02749,Flies
Pogonosoma funebris,P02784,Flies
Promachus yesonicus,P02808,Flies
Stenopogon kaltenbachi,P02834,Flies
Trigonomima pennipes,P02867,Flies
Anthrax aygulus,P02905,Flies
Apolysis beijingensis,P02914,Flies
Bombomyia discoidea,P02916,Flies
Bombylius ambustus,P02919,Flies
Bombylius callopterus,P02921,Flies
Bombylius candidus,P02922,Flies
Bombylius major,P02930,Flies
Euchariomyia dives,P02947,Flies
Exoprosopa turkestanica,P02959,Flies
Hemipenthes beijingensis,P02968,Flies
Hemipenthes maura,P02975,Flies
Hemipenthes velutina,P02988,Flies
Ligyra tantalus,P03018,Flies
Phthiria rhomphaea,P03028,Flies
Pterobates pennipes,P03029,Flies
Systropus chinensis,P03043,Flies
Systropus laqueatus,P03077,Flies
Aldrichina grahami,P03126,Flies
Alikangiella vittata,P03128,Flies
Bellardia benshiensis,P03132,Flies
Bellardia menechmoides,P03139,Flies
Bellardia xianensis,P03149,Flies
Bengalia chekiangensis,P03151,Flies
Bengalia emarginata,P03152,Flies
Bengalia escheri,P03154,Flies
Bengalia fani,P03155,Flies
Bengalia varicolor,P03162,Flies
Caiusa coomani,P03166,Flies
Caiusa testacea,P03168,Flies
Calliphora vicina,P03181,Flies
Calliphora vomitoria,P03182,Flies
Catapicephala ruficornis,P03185,Flies
Chrysomya chani,P03190,Flies
Chrysomya megacephala,P03192,Flies
Chrysomya nigripes,P03193,Flies
Chrysomya phaonis,P03194,Flies
Chrysomya pinguis,P03195,Flies
Chrysomya rufifacies,P03196,Flies
Chrysomya thanomthini,P03197,Flies
Chrysomya villeneuvi,P03198,Flies
Cynomya mortuorum,P03203,Flies
Cynomyiomima stackelbergi,P03204,Flies
Hemipyrellia ligurriens,P03219,Flies
Hypopygiopsis infumata,P03223,Flies
Hypopygiopsis tumrasvini,P03224,Flies
Idiella divisa,P03226,Flies
Idiella euidielloides,P03227,Flies
Idiella mandarina,P03228,Flies
Idiella tripartita,P03231,Flies
Isomyia complantenna,P03235,Flies
Isomyia electa,P03239,Flies
Isomyia nebulosa,P03245,Flies
Isomyia pseudolucilia,P03251,Flies
Isomyia pseudonepalana,P03252,Flies
Isomyia quadrina,P03254,Flies
Isomyia verirecta,P03262,Flies
Lucilia ampullacea,P03269,Flies
Lucilia bazini,P03272,Flies
Lucilia caesar,P03274,Flies
Lucilia chini,P03276,Flies
Lucilia cuprina,P03277,Flies
Lucilia hainanensis,P03278,Flies
Lucilia illustris,P03279,Flies
Lucilia papuensis,P03280,Flies
Lucilia porphyrina,P03282,Flies
Lucilia sericata,P03284,Flies
Lucilia shenyangensis,P03286,Flies
Phormia regina,P03354,Flies
Pollenia huangshanensis,P03360,Flies
Polleniopsis mongolica,P03380,Flies
Pollenomyia sinensis,P03391,Flies
Protocalliphora azurea,P03392,Flies
Protophormia terraenovae,P03397,Flies
Rhinia apicalis,P03398,Flies
Rhyncomya setipyga,P03402,Flies
Silbomyia cyanea,P03403,Flies
Silbomyia hoeneana,P03404,Flies
Silbomyia sauteri,P03405,Flies
Stomorhina discolor,P03407,Flies
Stomorhina obsoleta,P03410,Flies
Stomorhina xanthogaster,P03415,Flies
Sumatria chiekoae,P03422,Flies
Triceratopyga calliphoroides,P03426,Flies
Tricycleopsis paradoxa,P03427,Flies
Xanthotryxus draco,P03432,Flies
Xanthocanace magna,P03448,Flies
Celyphus difficilis,P03454,Flies
Spaniocelyphus palmi,P03489,Flies
Spaniocelyphus papposus,P03492,Flies
Allohelea annulata,P03500,Flies
Alluaudomyia marginalis,P03530,Flies
Culicoides actoni,P03734,Flies
Culicoides arakawai,P03745,Flies
Culicoides brevitarsis,P03759,Flies
Culicoides circumbasalis,P03771,Flies
Culicoides clavipalpis,P03773,Flies
Culicoides erairai,P03800,Flies
Culicoides fulvus,P03814,Flies
Culicoides holcus,P03836,Flies
Culicoides homotomus,P03837,Flies
Culicoides huffi,P03841,Flies
Culicoides hui,P03842,Flies
Culicoides humeralis,P03844,Flies
Culicoides imicola,P03847,Flies
Culicoides indianus,P03850,Flies
Culicoides innoxius,P03851,Flies
Culicoides insignipennis,P03852,Flies
Culicoides jacobsoni,P03854,Flies
Culicoides kibunensis,P03863,Flies
Culicoides liui,P03884,Flies
Culicoides lungchiensis,P03894,Flies
Culicoides morisitai,P03923,Flies
Culicoides nipponensis,P03937,Flies
Culicoides oxystoma,P03949,Flies
Culicoides parahumeralis,P03958,Flies
Culicoides peliliouensis,P03961,Flies
Culicoides peregrinus,P03963,Flies
Culicoides sinanoensis,P04008,Flies
Culicoides sumatrae,P04025,Flies
Dasyhelea ludingensis,P04189,Flies
Forcipomyia bikanni,P04283,Flies
Leucopis formosana,P04684,Flies
Calamoncosis sorella,P04719,Flies
Dicraeus orientalis,P04803,Flies
Elachiptera tuberculifera,P04815,Flies
Meijerella inaequalis,P04876,Flies
Melanum laterale,P04877,Flies
Meromyza nigriventris,P04894,Flies
Metopostigma sauteri,P04902,Flies
Neoloxotaenia gracilis,P04904,Flies
Oscinisoma rectum,P04913,Flies
Rhodesiella nitidifrons,P04957,Flies
Sepsidoscinis maculipennis,P04971,Flies
Thaumatomyia glabra,P04986,Flies
Thaumatomyia notata,P04988,Flies
Anacanthaspis bifasciata,P05018,Flies
Dialysis cispacifica,P05022,Flies
Archiconops erythrocephalus,P05029,Flies
Conops thecoides,P05049,Flies
Conops thecus,P05050,Flies
Physocephala limbipennis,P05082,Flies
Siniconops grandens,P05104,Flies
Sinolochmostylia sinica,P05144,Flies
Cyrtodiopsis yunnanensis,P05156,Flies
Diopsis chinica,P05157,Flies
Teleopsis quadriguttata,P05173,Flies
Ahypophyllus sinensis,P05190,Flies
Chrysosoma crinicorne,P05319,Flies
Chrysosoma floccosum,P05326,Flies
Chrysosoma leucopogon,P05335,Flies
Chrysosoma nanlingense,P05339,Flies
Chrysosoma ruyuanense,P05343,Flies
Chrysosoma shixingense,P05345,Flies
Chrysosoma zengchengense,P05352,Flies
Chrysotus pulchellus,P05428,Flies
Condylostylus fenestratus,P05451,Flies
Condylostylus nebulosus,P05463,Flies
Dolichopus bigeniculatus,P05552,Flies
Dolichopus hilaris,P05568,Flies
Dolichopus xanthopyga,P05608,Flies
Medetera grisescens,P05927,Flies
Plagiozopelma biseta,P06088,Flies
