Species,FlowerID,Trait
Acorus calamus,F00001,I
Acorus gramineus,F00002,I
Acorus rumphianus,F00003,I
Alisma canaliculatum,F00004,I
Alisma gramineum,F00005,I
Alisma lanceolatum,F00006,I
Alisma nanum,F00007,I
Alisma orientale,F00008,I
Alisma plantago-aquatica,F00009,I
Butomopsis latifolia,F00010,I
Caldesia grandis,F00011,D
Caldesia parnassifolia,F00012,D
Limnocharis flava,F00013,I
Sagittaria guayanensis,F00015,I
Sagittaria lichuanensis,F00016,I
Sagittaria natans,F00017,I
Sagittaria potamogetonifolia,F00018,I
Sagittaria pygmaea,F00019,I
Sagittaria tengtsungensis,F00020,I
Sagittaria trifolia,F00021,I
Aponogeton lakhonensis,F00022,I
Aglaonema modestum,F00023,I
Aglaonema simplex,F00024,I
Alocasia acuminata,F00025,I
Alocasia cucullata,F00026,I
Alocasia hainanica,F00027,I
Alocasia lihengiae,F00028,I
Alocasia longiloba,F00029,I
Alocasia macrorrhizos,F00030,I
Alocasia navicularis,F00031,I
Alocasia odora,F00032,I
Alocasia yunqiana,F00033,I
Amorphophallus albus,F00034,I
Amorphophallus bubenensis,F00035,I
Amorphophallus bulbifer,F00036,I
Amorphophallus coaetaneus,F00037,I
Amorphophallus corrugatus,F00038,I
Amorphophallus dunnii,F00039,I
Amorphophallus hayi,F00040,I
Amorphophallus henryi,F00041,I
Amorphophallus hirtus,F00042,I
Amorphophallus kachinensis,F00043,I
Amorphophallus kiusianus,F00044,I
Amorphophallus konjac,F00045,I
Amorphophallus krausei,F00046,I
Amorphophallus paeoniifolius,F00047,I
Amorphophallus stipitatus,F00048,I
Amorphophallus tonkinensis,F00049,I
Amorphophallus xiei,F00050,I
Amorphophallus yuloensis,F00051,I
Amorphophallus yunnanensis,F00052,I
Amydrium hainanense,F00053,I
Amydrium sinense,F00054,I
Anadendrum latifolium,F00055,I
Anadendrum montanum,F00056,I
Anthurium andraeanum,F00057,I
Anthurium pedatoradiatum,F00058,I
Arisaema amurense,F00059,I
Arisaema angustatum,F00060,I
Arisaema aridum,F00061,I
Arisaema asperatum,F00062,I
Arisaema austroyunnanense,F00063,I
Arisaema balansae,F00064,I
Arisaema bannaense,F00065,I
Arisaema bockii,F00066,I
Arisaema bonatianum,F00067,I
Arisaema brucei,F00068,I
Arisaema burmaense,F00069,I
Arisaema calcareum,F00070,I
Arisaema candidissimum,F00071,I
Arisaema chenii,F00072,I
Arisaema chuanxiense,F00073,I
Arisaema ciliatum,F00074,I
Arisaema clavatum,F00075,I
Arisaema concinnum,F00076,I
Arisaema cordatum,F00077,I
Arisaema costatum,F00078,I
Arisaema dahaiense,F00079,I
Arisaema decipiens,F00080,I
Arisaema echinatum,F00081,I
Arisaema echinoides,F00082,I
Arisaema elephas,F00083,I
Arisaema erubescens,F00084,I
Arisaema exappendiculatum,F00085,I
Arisaema fargesii,F00086,I
Arisaema flavum,F00087,I
Arisaema franchetianum,F00088,I
Arisaema galeatum,F00089,I
Arisaema grapsospadix,F00090,I
Arisaema guangxiense,F00092,I
Arisaema hainanense,F00093,I
Arisaema handelii,F00094,I
Arisaema heterophyllum,F00095,I
Arisaema hunanense,F00096,I
Arisaema ilanense,F00097,I
Arisaema intermedium,F00098,I
Arisaema jacquemontii,F00099,I
Arisaema jingdongense,F00100,I
Arisaema lackneri,F00101,I
Arisaema lichiangense,F00102,I
Arisaema lidaense,F00103,I
Arisaema lihengianum,F00104,I
Arisaema lingyunense,F00105,I
Arisaema lobatum,F00106,I
Arisaema longitubum,F00107,I
Arisaema lushuiense,F00108,I
Arisaema mairei,F00109,I
Arisaema matsudai,F00110,I
Arisaema melanostomum,F00111,I
Arisaema meleagris,F00112,I
Arisaema menglaense,F00113,I
Arisaema muratae,F00114,I
Arisaema nangtciangense,F00115,I
Arisaema nepenthoides,F00116,I
Arisaema odoratum,F00117,I
Arisaema parvum,F00118,I
Arisaema penicillatum,F00119,I
Arisaema peninsulae,F00120,I
Arisaema petelotii,F00121,I
Arisaema petiolulatum,F00122,I
Arisaema pianmaense,F00123,I
Arisaema pingbianense,F00124,I
Arisaema prazeri,F00125,I
Arisaema propinquum,F00126,I
Arisaema quinquelobatum,F00127,I
Arisaema ringens,F00128,I
Arisaema rubrirhizomatum,F00129,I
Arisaema saxatile,F00130,I
Arisaema silvestrii,F00131,I
Arisaema sinii,F00132,I
Arisaema smitinandii,F00133,I
Arisaema souliei,F00134,I
Arisaema speciosum,F00135,I
Arisaema sukotaiense,F00136,I
Arisaema taiwanense,F00137,I
Arisaema tengtsungense,F00138,I
Arisaema thunbergii,F00139,I
Arisaema tortuosum,F00140,I
Arisaema utile,F00141,I
Arisaema vexillatum,F00142,I
Arisaema victoriae,F00143,I
Arisaema wangmoense,F00144,I
Arisaema wardii,F00145,I
Arisaema wattii,F00146,I
Arisaema wilsonii,F00147,I
Arisaema xuanweiense,F00148,I
Arisaema yunnanense,F00149,I
Arisaema zhui,F00150,I
Arum jacquemontii,F00151,I
Calla palustris,F00152,I
Colocasia affinis,F00153,I
Colocasia antiquorum,F00154,I
Colocasia bicolor,F00155,I
Colocasia esculenta,F00156,I
Colocasia fallax,F00157,I
Colocasia gaoligongensis,F00158,I
Colocasia gongii,F00159,I
Colocasia heterochroma,F00160,I
Colocasia lihengiae,F00161,I
Colocasia menglaensis,F00162,I
Cryptocoryne crispatula,F00163,I
Dieffenbachia bowmannii,F00164,I
Dieffenbachia leopoldii,F00165,I
Dieffenbachia picta,F00166,I
Dieffenbachia seguine,F00167,I
Englerarum hypnosum,F00168,I
Epipremnum aureum,F00169,I
Epipremnum pinnatum,F00170,I
Hapaline ellipticifolia,F00171,I
Homalomena aromatica,F00172,I
Homalomena hainanensis,F00173,I
Homalomena kelungensis,F00174,I
Homalomena occulta,F00175,I
Homalomena philippinensis,F00176,I
Landoltia punctata,F00177,I
Lasia spinosa,F00178,I
Leucocasia gigantea,F00185,I
Monstera deliciosa,F00186,I
Philodendron andreanum,F00187,I
Philodendron asperatum,F00188,I
Philodendron erubescens,F00189,I
Philodendron gloriosum,F00190,I
Philodendron sagittifolium,F00191,I
Philodendron tripartitum,F00192,I
Pinellia cordata,F00193,I
Pinellia fujianensis,F00194,I
Pinellia hunanensis,F00195,I
Pinellia integrifolia,F00196,I
Pinellia pedatisecta,F00197,I
Pinellia peltata,F00198,I
Pinellia polyphylla,F00199,I
Pinellia ternata,F00200,I
Pinellia tripartita,F00201,I
Pinellia yaoluopingensis,F00202,I
Pistia stratiotes,F00203,I
Pothoidium lobbianum,F00204,I
Pothos chinensis,F00205,I
Pothos kerrii,F00206,I
Pothos pilulifer,F00207,I
Pothos repens,F00208,I
Pothos scandens,F00209,I
Remusatia hookeriana,F00210,I
Remusatia pumila,F00211,I
Remusatia vivipara,F00212,I
Remusatia yunnanensis,F00213,I
Rhaphidophora crassicaulis,F00214,I
Rhaphidophora decursiva,F00215,I
Rhaphidophora dulongensis,F00216,I
Rhaphidophora glauca,F00217,I
Rhaphidophora hongkongensis,F00218,I
Rhaphidophora hookeri,F00219,I
Rhaphidophora laichauensis,F00220,I
Rhaphidophora lancifolia,F00221,I
Rhaphidophora liukiuensis,F00222,I
Rhaphidophora luchunensis,F00223,I
Rhaphidophora megaphylla,F00224,I
Rhaphidophora peepla,F00225,I
Sauromatum brevipes,F00226,I
Sauromatum diversifolium,F00227,I
Sauromatum gaoligongense,F00228,I
Sauromatum giganteum,F00229,I
Sauromatum hirsutum,F00230,I
Sauromatum horsfieldii,F00231,I
Sauromatum venosum,F00232,I
Schismatoglottis calyptrata,F00233,I
Schismatoglottis hainanensis,F00234,I
Schismatoglottis neoguineensis,F00235,I
Scindapsus maclurei,F00236,I
Spathiphyllum floribundum,F00237,I
Spirodela polyrhiza,F00238,I
Steudnera colocasiifolia,F00239,I
Steudnera griffithii,F00240,I
Steudnera henryana,F00241,I
Steudnera kerrii,F00242,I
Symplocarpus nipponicus,F00243,I
Symplocarpus renifolius,F00244,I
Syngonium podophyllum,F00245,I
Typhonium albidinervium,F00246,I
Typhonium baoshanense,F00247,I
Typhonium blumei,F00248,I
Typhonium flagelliforme,F00249,I
Typhonium hunanense,F00250,I
Typhonium jinpingense,F00251,I
Typhonium roxburghii,F00252,I
Typhonium trifoliatum,F00253,I
Typhonium trilobatum,F00254,I
Wolffia globosa,F00255,I
Xanthosoma sagittifolium,F00256,I
Zantedeschia aethiopica,F00257,I
Zantedeschia albomaculata,F00258,I
Zantedeschia melanoleuca,F00259,I
Zantedeschia rehmannii,F00260,I
Butomus umbellatus,F00261,I
Cymodocea rotundata,F00262,D
Halodule pinifolia,F00263,D
Halodule uninervis,F00264,D
Syringodium isoetifolium,F00265,D
Blyxa japonica,F00268,D
Halophila beccarii,F00274,D
Halophila decipiens,F00275,D
Halophila minor,F00276,D
Halophila ovalis,F00277,D
Hydrocharis dubia,F00279,D
Najas ancistrocarpa,F00281,D
Najas browniana,F00282,D
Najas chinensis,F00283,D
Najas foveolata,F00284,D
Najas gracillima,F00285,D
Najas graminea,F00286,D
Najas marina,F00287,D
Najas minor,F00288,D
Najas oguraensis,F00289,D
Najas pseudogracillima,F00290,D
Najas pseudograminea,F00291,D
Nechamandra alternifolia,F00292,D
Ottelia acuminata,F00293,D
Ottelia alismoides,F00294,D
Ottelia balansae,F00295,D
Ottelia cordata,F00296,D
Ottelia emersa,F00297,D
Ottelia fengshanensis,F00298,D
Ottelia guanyangensis,F00299,D
Ottelia songmingensis,F00300,D
Thalassia hemprichii,F00301,D
Vallisneria anhuiensis,F00302,D
Vallisneria denseserrulata,F00303,D
Vallisneria natans,F00304,D
Vallisneria spinulosa,F00305,I
Triglochin maritima,F00306,I
Triglochin palustris,F00307,I
Posidonia australis,F00308,I
Potamogeton alpinus,F00309,I
Potamogeton berchtoldii,F00310,I
Potamogeton compressus,F00311,I
Potamogeton crispus,F00312,I
Potamogeton cristatus,F00313,I
Potamogeton distinctus,F00314,I
Potamogeton friesii,F00315,I
Potamogeton gramineus,F00316,I
Potamogeton lucens,F00317,I
Potamogeton maackianus,F00318,I
Potamogeton mandschuriensis,F00319,I
Potamogeton natans,F00320,I
Potamogeton nodosus,F00321,I
Potamogeton obtusifolius,F00322,I
Potamogeton octandrus,F00323,I
Potamogeton oxyphyllus,F00324,I
Potamogeton perfoliatus,F00325,I
Potamogeton praelongus,F00326,I
